codi,comarca,recursos._remuneracion_asalariados,recursos._excedente_bruto_explotacion,recursos._prestaciones_sociales,usos._cotizaciones_sociales,usos._impuestos
01,alt camp,565929,186515,206768,171532,91718
02,alt emporda,1551611,680144,484650,486006,309468
03,alt penedes,1527182,496000,510175,452437,259924
04,alt urgell,187736,95819,85046,60167,34504
05,alta ribagorca,41587,24789,15395,13962,7562
06,anoia,1595318,513380,563441,474846,260140
07,bages,2374017,722195,999670,698795,420799
08,baix camp,2550403,815748,819708,763414,449535
09,baix ebre,807770,336568,343344,255350,136912
10,baix emporda,1537835,699485,508668,483750,321417
11,baix llobregat,13215385,4140344,3937025,3788186,2455467
12,baix penedes,1218963,467370,477566,371454,226052
13,barcelones,35388626,13517962,12605619,10368130,8158603
14,bergueda,432909,185872,264394,135932,79778
15,cerdanya,198847,127937,57025,65938,46096
16,conca de barbera,250194,91534,94177,76564,41078
17,garraf,2290249,865775,676443,674668,491491
18,garrigues,180241,86328,87005,61585,30158
19,garrotxa,777429,246808,282094,230973,138919
20,girones,2806977,873264,800914,820877,527817
21,maresme,6492817,2563199,2051608,1942642,1343442
22,montsia,640065,285744,277237,208776,99589
23,noguera,394668,169653,159523,129782,64966
24,osona,2297712,740120,758728,682267,421446
25,pallars jussa,127835,61865,67273,42403,23651
26,pallars sobira,72881,44903,26684,25368,13470
27,pla d'urgell,447367,149388,143002,138265,72222
28,pla de l'estany,457728,155295,129097,135280,81352
29,priorat,87931,50824,40735,30027,14852
30,ribera d'ebre,232851,94251,112920,73132,43851
31,ripolles,302830,124709,153537,93192,58651
32,segarra,283221,95622,85823,87583,54745
33,segria,2759726,848325,908334,831517,468623
34,selva,2011429,735813,684028,618095,340330
35,solsones,146122,67125,60184,48012,24580
36,tarragones,3484632,1067157,1125331,1028428,612340
37,terra alta,89398,61780,55759,33855,13949
38,urgell,416904,150340,154632,130594,68938
39,aran,130544,62707,33254,41681,28082
40,valles occidental,14574211,4646586,4369391,4221572,2765045
41,valles oriental,6124482,2074942,1863747,1800468,1109868
42,moianes,182243,76635,59318,56195,34980
