codi,comarca,total_homes,total_dones,total
01,alt camp,1095,1476,2570
02,alt emporda,3173,3997,7169
03,alt penedes,2174,3104,5277
04,alt urgell,352,419,770
05,alta ribagorca,43,44,87
06,anoia,2843,4367,7209
07,bages,4115,5384,9499
08,baix camp,4707,6526,11232
09,baix ebre,1837,2284,4120
10,baix emporda,2733,3449,6182
11,baix llobregat,16166,22579,38744
12,baix penedes,3052,4295,7346
13,barcelones,47793,58677,106470
14,bergueda,743,1075,1817
15,cerdanya,186,267,452
16,conca de barbera,336,402,738
17,garraf,3401,4766,8167
18,garrigues,334,357,691
19,garrotxa,937,1133,2069
20,girones,4186,4912,9098
21,maresme,10318,13974,24291
22,montsia,1468,2087,3555
23,noguera,759,1032,1790
24,osona,2985,4380,7364
25,pallars jussa,282,290,572
26,pallars sobira,106,112,217
27,pla d'urgell,605,798,1402
28,pla de l'estany,485,559,1044
29,priorat,163,217,379
30,ribera d'ebre,498,561,1059
31,ripolles,378,480,858
32,segarra,320,413,733
33,segria,4711,6132,10843
34,selva,3750,4981,8730
35,solsones,208,243,451
36,tarragones,5905,8081,13985
37,terra alta,161,208,369
38,urgell,690,1030,1719
39,aran,129,147,276
40,valles occidental,20418,29059,49476
41,valles oriental,8706,12758,21463
42,moianes,196,302,497
