codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
01,alt camp,38831,1222,467,2767,191,569,249,44296,87.66,0.876625428932635,2.76,0.02758714105111071,1.05,0.010542712660285353,6.25,0.06246613689723677,0.43,0.004311901751851183,1.28,0.012845403648184938,0.56,0.005621275058696045
02,alt emporda,107134,11865,2054,13157,2167,3892,1070,141339,75.8,0.7579931936691218,8.39,0.08394710589433914,1.45,0.014532436199492002,9.31,0.0930882488202124,1.53,0.015331932446104755,2.75,0.027536631785989713,0.76,0.007570451184740234
03,alt penedes,96742,1868,652,6127,573,1725,724,108411,89.24,0.8923633210652056,1.72,0.017230723819538607,0.6,0.006014149855641955,5.65,0.05651640516183782,0.53,0.005285441514237485,1.59,0.015911669480034314,0.67,0.006678289103504257
04,alt urgell,17822,1044,212,345,150,504,100,20177,88.33,0.8832829459285325,5.17,0.05174208256926203,1.05,0.010507012935520641,1.71,0.017098676711106705,0.74,0.007434207265698567,2.5,0.024978936412747187,0.5,0.004956138177132379
05,alta ribagorca,3365,171,61,121,19,59,6,3802,88.51,0.8850604944765913,4.5,0.04497632824829037,1.6,0.01604418726985797,3.18,0.031825355076275645,0.5,0.004997369805365597,1.55,0.01551814834297738,0.16,0.0015781167806417674
06,anoia,110665,1818,569,5045,500,1233,908,120738,91.66,0.9165714191058325,1.51,0.01505739700839835,0.47,0.004712683662144478,4.18,0.041784690818135135,0.41,0.00414119829713926,1.02,0.010212195000745416,0.75,0.007520416107604897
07,bages,158068,3918,1204,10302,1194,2616,1583,178885,88.36,0.8836291472174861,2.19,0.02190233949185231,0.67,0.006730581099589122,5.76,0.057590071833859745,0.67,0.0066746792632137964,1.46,0.014623920395785002,0.88,0.008849260698213936
08,baix camp,160486,9154,2230,11798,1097,4605,1603,190973,84.04,0.8403596319898624,4.79,0.04793347750729161,1.17,0.011677043351677985,6.18,0.061778366575379766,0.57,0.005744267514255942,2.41,0.02411335633833055,0.84,0.008393856723201708
09,baix ebre,64823,4497,1014,4496,421,864,1481,77596,83.54,0.8353909995360586,5.8,0.05795401824836332,1.31,0.013067683901232023,5.79,0.05794113098613331,0.54,0.005425537398834991,1.11,0.011134594566730244,1.91,0.01908603536264756
10,baix emporda,108009,7288,3160,10922,2123,1994,863,134359,80.39,0.8038836252130486,5.42,0.05424273773993554,2.35,0.023519079481091703,8.13,0.081289679143191,1.58,0.015800951183024582,1.48,0.014840836862435713,0.64,0.006423090377272829
