codi,comarca,rfdb_(miles_de_euros),rfdb_por_habitante_(euros),rfdb_por_habitante_(index_catalunya=100_por_habitante)
01,alt camp,720501,16266,88.1
02,alt emporda,2034758,14802,80.2
03,alt penedes,1839020,17023,92.2
04,alt urgell,293967,14569,78.9
05,alta ribagorca,61538,16124,87.3
06,anoia,1964683,16374,88.7
07,bages,3093006,17594,95.3
08,baix camp,3068672,16056,87.0
09,baix ebre,1121858,14535,78.7
10,baix emporda,2037282,15458,83.7
11,baix llobregat,15583645,19109,103.5
12,baix penedes,1583447,15340,83.1
13,barcelones,46669022,20722,112.2
14,bergueda,682185,17435,94.4
15,cerdanya,287025,16055,86.9
16,conca de barbera,327256,16418,88.9
17,garraf,2771130,18833,102.0
18,garrigues,271140,14368,77.8
19,garrotxa,1001606,17878,96.8
20,girones,3353292,17907,97.0
21,maresme,8293840,18660,101.1
22,montsia,907138,13323,72.2
23,noguera,550622,14408,78.0
24,osona,2834271,17975,97.4
25,pallars jussa,195918,15160,82.1
26,pallars sobira,107291,15557,84.3
27,pla d'urgell,557224,15064,81.6
28,pla de l'estany,549742,17208,93.2
29,priorat,137663,14963,81.0
30,ribera d'ebre,328222,15149,82.0
31,ripolles,440258,17684,95.8
32,segarra,336356,14936,80.9
33,segria,3327147,16205,87.8
34,selva,2555335,15267,82.7
35,solsones,209326,15417,83.5
36,tarragones,4116329,16110,87.2
37,terra alta,166239,14620,79.2
38,urgell,545075,15039,81.5
39,aran,169499,17088,92.5
40,valles occidental,17275115,18783,101.7
41,valles oriental,7387737,18154,98.3
42,moianes,235283,17550,95.0
