codi,comarca,alumnes_homes_16_24_anys,alumnes_dones_16_24_anys,alumnes_total_16_24_anys,alumnes_homes_+25_anys,alumnes_dones_+25_anys,alumnes_total_+25_anys
01,alt camp,24,20,44,56,163,219
02,alt emporda,183,84,267,575,314,889
03,alt penedes,58,36,94,78,132,210
04,alt urgell,23,24,47,107,218,325
05,alta ribagorca,1,5,6,2,13,15
06,anoia,34,21,55,46,36,82
07,bages,95,64,159,460,423,883
08,baix camp,207,174,381,396,707,1103
09,baix ebre,61,52,113,100,264,364
10,baix emporda,151,114,265,533,759,1292
11,baix llobregat,1042,711,1753,4162,4178,8340
12,baix penedes,67,64,131,71,187,258
13,barcelones,2267,1903,4170,4934,10396,15330
14,bergueda,31,15,46,50,70,120
15,cerdanya,0,0,0,0,0,0
16,conca de barbera,13,11,24,28,73,101
17,garraf,147,105,252,250,529,779
18,garrigues,0,0,0,0,0,0
19,garrotxa,138,64,202,220,308,528
20,girones,513,301,814,571,1026,1597
21,maresme,467,351,818,1243,1981,3224
22,montsia,49,23,72,79,222,301
23,noguera,35,18,53,106,209,315
24,osona,167,113,280,416,554,970
25,pallars jussa,8,11,19,60,118,178
26,pallars sobira,0,0,0,0,0,0
27,pla d'urgell,43,38,81,144,419,563
28,pla de l'estany,82,44,126,124,227,351
29,priorat,0,0,0,0,0,0
30,ribera d'ebre,41,12,53,137,154,291
31,ripolles,8,7,15,54,72,126
32,segarra,27,13,40,81,130,211
33,segria,200,82,282,1099,697,1796
34,selva,228,157,385,367,685,1052
35,solsones,22,20,42,85,162,247
36,tarragones,341,267,608,857,961,1818
37,terra alta,0,0,0,0,0,0
38,urgell,25,29,54,117,246,363
39,aran,7,6,13,60,137,197
40,valles occidental,945,743,1688,2030,4362,6392
41,valles oriental,1001,370,1371,2001,2017,4018
42,moianes,0,0,0,0,0,0
