Paro registrado. Por sexo y grupos de edad. Total. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2018;;;
Unidades: Personas.;;;
Fuente: Departamento de Trabajo, Asuntos Sociales y Familias.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=201800&lang=es;;;
comarca;16-24;25+;Total
Alt Camp;201.8;2392.2;2594
Alt Empordà;577.1;7069.8;7646.9
Alt Penedès;313.1;5043.1;5356.2
Alt Urgell;60.2;738.3;798.5
Alta Ribagorça;3.7;87;90.7
Anoia;633.4;6954;7587.4
Aran;20.4;279.7;300.1
Bages;629.9;8871.2;9501.1
Baix Camp;906.5;10694.9;11601.4
Baix Ebre;328.2;3968.4;4296.6
Baix Empordà;462.4;5963.1;6425.5
Baix Llobregat;2874.8;37497.6;40372.4
Baix Penedès;614.5;7043.5;7658
Barcelonès;6768.4;103069;109837.4
Berguedà;127.9;1794.4;1922.3
Cerdanya;24;431;455
Conca de Barberà;48.9;749.7;798.6
Garraf;502.8;7769.1;8271.9
Garrigues;50.5;700.5;751
Garrotxa;153;1900.3;2053.3
Gironès;760.9;8580.7;9341.6
Maresme;1394.7;23693.7;25088.4
Moianès;30.6;462.5;493.1
Montsià;268.5;3589.8;3858.3
Noguera;167.7;1725.4;1893.1
Osona;538.7;7098.1;7636.8
Pallars Jussà;49;492.1;541.1
Pallars Sobirà;15.4;201.2;216.6
Pla d'Urgell;102.2;1415.2;1517.4
Pla de l'Estany;88.7;999.6;1088.3
Priorat;16.4;386;402.4
Ribera d'Ebre;79;1059.6;1138.6
Ripollès;51.5;877.6;929.1
Segarra;56.8;737.9;794.7
Segrià;838.8;10560.6;11399.4
Selva;719;8225.9;8944.9
Solsonès;40.5;414.9;455.4
Tarragonès;1238.7;13173.5;14412.2
Terra Alta;23.3;350.2;373.5
Urgell;116.1;1666.8;1782.9
Vallès Occidental;3608.3;46976.5;50584.8
Vallès Oriental;1488.4;20297.5;21785.9
Cataluña;26993.6;365998.7;392992.3
Metropolità;16139.6;231671.2;247810.8
Comarques Gironines;2812.4;33616.4;36428.8
Camp de Tarragona;2412.2;27395.7;29807.9
Terres de l'Ebre;698.9;8967.8;9666.7
Ponent;1332.1;16806.2;18138.3
Comarques Centrals;1377.7;18736;20113.7
Alt Pirineu i Aran;172.5;2228.8;2401.3
Penedès;2048.3;26577.1;28625.4
Barcelona;18917.6;269591.1;288508.7
Girona;2826.6;33915;36741.6
Lleida;1523.9;19086.4;20610.3
Tarragona;3725.6;43406.7;47132.3
