Paro registrado. Por sexo y grupos de edad. Hombres. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2018;;;
Unidades: Personas.;;;
Fuente: Departamento de Trabajo, Asuntos Sociales y Familias.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=201800&lang=es;;;
comarca;Total_homes;Total_dones;Total
Alt Camp;1132.3;1461.5;2593.8
Alt Empordà;3436.9;4209.9;7646.8
Alt Penedès;2239.4;3116.8;5356.2
Alt Urgell;377.3;421;798.3
Alta Ribagorça;48.3;42.2;90.5
Anoia;2996.1;4591.3;7587.4
Aran;145.3;154.6;299.9
Bages;4187.9;5313.1;9501
Baix Camp;4947.3;6653.8;11601.1
Baix Ebre;1934.5;2361.8;4296.3
Baix Empordà;2936.3;3489.1;6425.4
Baix Llobregat;16788.3;23584.2;40372.5
Baix Penedès;3211.7;4446.3;7658
Barcelonès;49321.3;60516.2;109837.5
Berguedà;793;1129.3;1922.3
Cerdanya;196.1;258.8;454.9
Conca de Barberà;360;438.5;798.5
Garraf;3417.5;4854.3;8271.8
Garrigues;350.9;400;750.9
Garrotxa;933.9;1119.3;2053.2
Gironès;4311.5;5030;9341.5
Maresme;10674.6;14413.7;25088.3
Moianès;197.7;295.3;493
Montsià;1651.6;2206.7;3858.3
Noguera;818.7;1074.5;1893.2
Osona;3138;4498.7;7636.7
Pallars Jussà;262.3;278.8;541.1
Pallars Sobirà;102.3;114.3;216.6
Pla d'Urgell;641.3;875.8;1517.1
Pla de l'Estany;495.5;592.7;1088.2
Priorat;174.1;228.2;402.3
Ribera d'Ebre;526.3;612.3;1138.6
Ripollès;409.1;519.8;928.9
Segarra;352.2;442.7;794.9
Segrià;5058.8;6340.4;11399.2
Selva;3872.8;5071.9;8944.7
Solsonès;211.6;243.7;455.3
Tarragonès;6219.4;8192.6;14412
Terra Alta;165.6;207.8;373.4
Urgell;737.4;1045.6;1783
Vallès Occidental;21023.8;29560.8;50584.6
Vallès Oriental;8956.3;12829.4;21785.7
Cataluña;169755.2;223237.2;392992.4
Metropolità;106823.7;140987.2;247810.9
Comarques Gironines;16396;20032.8;36428.8
Camp de Tarragona;12833.1;16974.6;29807.7
Terres de l'Ebre;4278;5388.7;9666.7
Ponent;7959.3;10179;18138.3
Comarques Centrals;8585.4;11528.2;20113.6
Alt Pirineu i Aran;1131.7;1269.6;2401.3
Penedès;11748;16877.3;28625.3
Barcelona;123761.2;164747.5;288508.7
Girona;16535.3;20206.3;36741.6
Lleida;9136;11474;20610
Tarragona;20322.8;26809.5;47132.3
