Renta familiar disponible bruta (RFBD). Por habitante y Indice Cataluña. Comarcas y Aran, y ámbitos
2018
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
Nota: La nueva comarca de El Moianès se creó el 1 de mayo de 2015 (Ley 4/2015, de 23 de abril, de creación de la comarca de El Moianès) a partir de la agregación de cinco municipios de la comarca de El Bages, uno de la comarca de Osona y cuatro de la comarca de El Vallès Oriental.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201800&lang=es
;RFDB (miles de euros);RFDB por habitante (euros);RFDB por habitante (Índex Catalunya=100 por habitante)
Alt Camp;688231;15537;88,9
Alt Empordà;1978509;14393;82,3
Alt Penedès;1765253;16340;93,5
Alt Urgell;276699;13713;78,4
Alta Ribagorça;57443;15051;86,1
Anoia;1864557;15540;88,9
Aran;156314;15759;90,1
Bages;2925324;16640;95,2
Baix Camp;2914259;15248;87,2
Baix Ebre;1067849;13835;79,1
Baix Empordà;1928117;14630;83,7
Baix Llobregat;14797957;18146;103,8
Baix Penedès;1475708;14296;81,8
Barcelonès;44149186;19603;112,1
Berguedà;660485;16880;96,6
Cerdanya;273828;15317;87,6
Conca de Barberà;313755;15741;90,0
Garraf;2610566;17742;101,5
Garrigues;262094;13889;79,4
Garrotxa;941881;16812;96,2
Gironès;3078573;16440;94,0
Maresme;7824301;17604;100,7
Moianès;224543;16749;95,8
Montsià;869290;12768;73,0
Noguera;522041;13660;78,1
Osona;2684563;17026;97,4
Pallars Jussà;185752;14374;82,2
Pallars Sobirà;103561;15016;85,9
Pla d'Urgell;528408;14285;81,7
Pla de l'Estany;526458;16479;94,3
Priorat;132088;14357;82,1
Ribera d'Ebre;319529;14748;84,4
Ripollès;422440;16968;97,1
Segarra;323436;14363;82,2
Segrià;3206824;15619;89,3
Selva;2438731;14570;83,3
Solsonès;201647;14851;84,9
Tarragonès;3881486;15191;86,9
Terra Alta;157641;13864;79,3
Urgell;515846;14233;81,4
Vallès Occidental;16292531;17714;101,3
Vallès Oriental;7002267;17207;98,4
Catalunya;132549972;17483;100,0
Metropolità;90134295;18613;106,5
Comarques Gironines;11314710;15357;87,8
Camp de Tarragona;7929819;15248;87,2
Terres de l'Ebre;2414308;13540;77,4
Ponent;5358649;14962;85,6
Comarques Centrals;6628511;16750;95,8
Alt Pirineu i Aran;1053596;14713;84,2
Penedès;7716085;16129;92,3

