Paro registrado. Por sexo y grupos de edad. Hombres. Medias anuales. Comarcas y Aran, ámbitos y provincias;;;
2021;;;
Unidades: Personas.;;;
Fuente: Departamento de Empresa y Trabajo.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/indicadors/?id=aec&n=15957&t=202100&lang=es;;;
comarca;Total_homes;Total_dones;Total
Alt Camp;1286.1;1636.8;2922.9
Alt Empordà;3763.8;4659.3;8423.1
Alt Penedès;2513.1;3372.5;5885.6
Alt Urgell;411.7;532.7;944.4
Alta Ribagorça;67.9;74.8;142.7
Anoia;3342.2;4847.8;8190
Aran;205.8;192.1;397.9
Bages;4781.5;6001.2;10782.7
Baix Camp;5594.5;7637.8;13232.3
Baix Ebre;2172.7;2536.4;4709.1
Baix Empordà;3155.1;3791.8;6946.9
Baix Llobregat;18734.7;25122.3;43857
Baix Penedès;3704.3;4982.8;8687.1
Barcelonès;56657.9;67636.9;124294.8
Berguedà;878.1;1145.7;2023.8
Cerdanya;259.4;367.8;627.2
Conca de Barberà;423.3;486.5;909.8
Garraf;4012.9;5294.5;9307.4
Garrigues;390.2;420.8;811
Garrotxa;1085.3;1277.5;2362.8
Gironès;5033.4;5728.3;10761.7
Maresme;11665;15283.2;26948.2
Moianès;248.3;363.1;611.4
Montsià;1819.8;2431.3;4251.1
Noguera;938.1;1156.3;2094.4
Osona;3608.1;4558.9;8167
Pallars Jussà;310.6;346.1;656.7
Pallars Sobirà;137.6;161.6;299.2
Pla d'Urgell;775.2;974.3;1749.5
Pla de l'Estany;558.4;646.2;1204.6
Priorat;198;228.3;426.3
Ribera d'Ebre;555.5;638.5;1194
Ripollès;464.8;559;1023.8
Segarra;379.2;521.4;900.6
Segrià;5643;7105.8;12748.8
Selva;4744.6;6110;10854.6
Solsonès;248.3;308.5;556.8
Tarragonès;6989.8;9594.8;16584.6
Terra Alta;200.2;230.6;430.8
Urgell;790.3;1102.7;1893
Vallès Occidental;23183;31603;54786
Vallès Oriental;9797.1;13767.5;23564.6
Cataluña;191728.2;245437.3;437165.5
Metropolità;120116.2;153499.2;273615.4
Comarques Gironines;18805.3;22772.1;41577.4
Camp de Tarragona;14491.6;19584.3;34075.9
Terres de l'Ebre;4748.1;5836.8;10584.9
Ponent;8915.9;11281.3;20197.2
Comarques Centrals;9789.3;12449.8;22239.1
Alt Pirineu i Aran;1393;1675;3068
Penedès;13468.8;18338.8;31807.6
Barcelona;139454.2;179042.4;318496.6
Girona;18985.3;23027.6;42012.9
Lleida;10344.8;12963.3;23308.1
Tarragona;22944;30404;53348
