codi,comarca,tipus_estudis,sexe,valor
01,alt camp,educacio_obligatoria,dones,12360
01,alt camp,educacio_obligatoria,homes,13899
01,alt camp,estudis_superiors,dones,5841
01,alt camp,estudis_superiors,homes,5229
01,alt camp,sense_educacio,dones,780
01,alt camp,sense_educacio,homes,528
02,alt emporda,educacio_obligatoria,dones,42156
02,alt emporda,educacio_obligatoria,homes,45408
02,alt emporda,estudis_superiors,dones,15861
02,alt emporda,estudis_superiors,homes,12930
02,alt emporda,sense_educacio,dones,2979
02,alt emporda,sense_educacio,homes,2655
03,alt penedes,sense_educacio,homes,819
03,alt penedes,sense_educacio,dones,1491
03,alt penedes,estudis_superiors,homes,13338
03,alt penedes,educacio_obligatoria,homes,32094
03,alt penedes,educacio_obligatoria,dones,29550
03,alt penedes,estudis_superiors,dones,15708
04,alt urgell,educacio_obligatoria,dones,5553
04,alt urgell,educacio_obligatoria,homes,6249
04,alt urgell,estudis_superiors,dones,3030
04,alt urgell,estudis_superiors,homes,2418
04,alt urgell,sense_educacio,dones,363
04,alt urgell,sense_educacio,homes,246
05,alta ribagorca,sense_educacio,dones,72
05,alta ribagorca,sense_educacio,homes,48
05,alta ribagorca,estudis_superiors,homes,570
05,alta ribagorca,estudis_superiors,dones,675
05,alta ribagorca,educacio_obligatoria,homes,1164
05,alta ribagorca,educacio_obligatoria,dones,963
06,anoia,educacio_obligatoria,dones,34575
06,anoia,educacio_obligatoria,homes,38391
06,anoia,estudis_superiors,dones,15846
06,anoia,estudis_superiors,homes,13479
06,anoia,sense_educacio,dones,2082
06,anoia,sense_educacio,homes,1029
07,bages,educacio_obligatoria,dones,50073
07,bages,estudis_superiors,homes,20715
07,bages,sense_educacio,dones,2964
07,bages,estudis_superiors,dones,24798
07,bages,educacio_obligatoria,homes,52989
07,bages,sense_educacio,homes,1704
08,baix camp,educacio_obligatoria,dones,53628
08,baix camp,educacio_obligatoria,homes,55680
08,baix camp,estudis_superiors,dones,27063
08,baix camp,sense_educacio,dones,4233
08,baix camp,estudis_superiors,homes,23217
08,baix camp,sense_educacio,homes,2322
09,baix ebre,educacio_obligatoria,homes,25557
09,baix ebre,estudis_superiors,dones,9231
09,baix ebre,estudis_superiors,homes,7833
09,baix ebre,sense_educacio,dones,1809
09,baix ebre,educacio_obligatoria,dones,22944
09,baix ebre,sense_educacio,homes,1320
10,baix emporda,sense_educacio,dones,2286
10,baix emporda,educacio_obligatoria,dones,38526
10,baix emporda,educacio_obligatoria,homes,41379
10,baix emporda,estudis_superiors,dones,18579
10,baix emporda,estudis_superiors,homes,15672
10,baix emporda,sense_educacio,homes,1635
11,baix llobregat,sense_educacio,homes,7569
11,baix llobregat,sense_educacio,dones,15177
11,baix llobregat,estudis_superiors,homes,113229
11,baix llobregat,educacio_obligatoria,homes,223443
11,baix llobregat,educacio_obligatoria,dones,219135
11,baix llobregat,estudis_superiors,dones,128019
12,baix penedes,sense_educacio,dones,1455
12,baix penedes,sense_educacio,homes,828
12,baix penedes,estudis_superiors,homes,12189
12,baix penedes,educacio_obligatoria,dones,32631
12,baix penedes,educacio_obligatoria,homes,34449
12,baix penedes,estudis_superiors,dones,13743
13,barcelones,educacio_obligatoria,dones,558156
13,barcelones,educacio_obligatoria,homes,531900
13,barcelones,estudis_superiors,dones,433458
13,barcelones,sense_educacio,dones,45537
13,barcelones,estudis_superiors,homes,380001
13,barcelones,sense_educacio,homes,23997
14,bergueda,educacio_obligatoria,dones,11361
14,bergueda,educacio_obligatoria,homes,12174
14,bergueda,estudis_superiors,homes,5031
14,bergueda,sense_educacio,dones,471
14,bergueda,sense_educacio,homes,234
14,bergueda,estudis_superiors,dones,5814
15,cerdanya,estudis_superiors,homes,2871
15,cerdanya,sense_educacio,homes,117
