codi,comarca,poblacio_total_16_a_24_anys,poblacio_homes_16_a_24_anys,poblacio_dones_16_a_24_anys
01,alt camp,4336,2330,2006
02,alt emporda,13680,7019,6661
03,alt penedes,10923,5668,5255
04,alt urgell,1786,949,837
05,alta ribagorca,338,172,166
06,anoia,12453,6555,5898
07,bages,17076,8917,8159
08,baix camp,19572,10055,9517
09,baix ebre,7362,4013,3349
10,baix emporda,12629,6580,6049
11,baix llobregat,82330,42682,39648
12,baix penedes,10489,5371,5118
13,barcelones,199569,102273,97296
14,bergueda,3354,1769,1585
15,cerdanya,1902,1034,868
16,conca de barbera,1877,1001,876
17,garraf,15018,7741,7277
18,garrigues,1597,886,711
19,garrotxa,5754,3184,2570
20,girones,20926,10943,9983
21,maresme,44582,23479,21103
22,montsia,6441,3476,2965
23,noguera,3561,1916,1645
24,osona,16380,8696,7684
25,pallars jussa,1100,563,537
26,pallars sobira,603,314,289
27,pla d'urgell,3500,1841,1659
28,pla de l'estany,3270,1685,1585
29,priorat,737,405,332
30,ribera d'ebre,1850,968,882
31,ripolles,2031,1055,976
32,segarra,2439,1341,1098
33,segria,20470,10857,9613
34,selva,17271,9220,8051
35,solsones,1309,685,624
36,tarragones,25422,13162,12260
37,terra alta,921,481,440
38,urgell,3639,1911,1728
39,aran,872,477,395
40,valles occidental,96038,49326,46712
41,valles oriental,42521,22116,20405
42,moianes,1403,755,648
