codi,comarca,16-24,25+,total
01,alt camp,165,2262,2427
02,alt emporda,394,5974,6368
03,alt penedes,246,4753,4998
04,alt urgell,53,688,740
05,alta ribagorca,7,95,101
06,anoia,464,6473,6937
07,bages,520,8744,9263
08,baix camp,727,9825,10551
09,baix ebre,281,3617,3897
10,baix emporda,254,4966,5220
11,baix llobregat,1983,33837,35820
12,baix penedes,459,6876,7335
13,barcelones,4694,92007,96701
14,bergueda,82,1690,1772
15,cerdanya,29,440,468
16,conca de barbera,42,710,751
17,garraf,361,7375,7736
18,garrigues,50,666,716
19,garrotxa,125,1865,1989
20,girones,706,8193,8899
21,maresme,1115,20976,22090
22,montsia,251,3230,3480
23,noguera,158,1697,1854
24,osona,436,6547,6982
25,pallars jussa,30,498,527
26,pallars sobira,14,196,209
27,pla d'urgell,93,1426,1519
28,pla de l'estany,81,963,1043
29,priorat,16,313,329
30,ribera d'ebre,59,917,976
31,ripolles,51,787,837
32,segarra,51,708,758
33,segria,770,9606,10375
34,selva,515,7972,8487
35,solsones,40,424,463
36,tarragones,912,12192,13103
37,terra alta,16,345,360
38,urgell,104,1507,1610
39,aran,15,213,228
40,valles occidental,2773,43622,46394
41,valles oriental,1199,18622,19820
42,moianes,29,498,527
