codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
01,alt camp,39463,1320,491,2884,240,741,330,45469,86.79,0.8679100046185313,2.9,0.029030768215707405,1.08,0.010798566055994194,6.34,0.06342782995007587,0.53,0.005278321493764983,1.63,0.016296817611999383,0.73,0.007257692053926851
02,alt emporda,108698,10998,2780,13567,2558,4222,1127,143950,75.51,0.7551094129906217,7.64,0.07640152830844044,1.93,0.019312261201806184,9.42,0.09424800277874262,1.78,0.01777005904828065,2.93,0.029329628343174714,0.78,0.007829107328933658
03,alt penedes,98944,1801,792,5725,693,2022,833,110810,89.29,0.8929158018229402,1.63,0.016253045753993323,0.71,0.007147369370995397,5.17,0.051665012183015974,0.63,0.006253948199620973,1.82,0.018247450591101885,0.75,0.00751737207833228
04,alt urgell,17783,944,301,457,182,668,123,20458,86.92,0.869244305406198,4.61,0.046143318017401506,1.47,0.014713070681396032,2.23,0.0223384495063056,0.89,0.008896275295727833,3.27,0.032652263173330726,0.6,0.006012317919640239
05,alta ribagorca,3473,179,62,140,37,89,9,3989,87.06,0.8706442717473051,4.49,0.04487340185510153,1.55,0.015542742541990473,3.51,0.03509651541739785,0.93,0.009275507646026573,2.23,0.022311356229631485,0.23,0.002256204562547004
06,anoia,113208,2018,664,5788,660,1789,946,125073,90.51,0.9051354009258593,1.61,0.016134577406794432,0.53,0.005308899602632063,4.63,0.04627697424703973,0.53,0.00527691827972464,1.43,0.01430364667034452,0.76,0.0075635828676053184
07,bages,157910,3783,1322,10883,1659,3291,1601,180449,87.51,0.8750949021607213,2.1,0.020964372204888917,0.73,0.007326169721084628,6.03,0.06031066949664448,0.92,0.009193733409439787,1.82,0.018237840054530642,0.89,0.008872312952690234
08,baix camp,164349,9127,2792,12747,1351,5517,1807,197690,83.13,0.831347058525975,4.62,0.046168243209064694,1.41,0.01412312205979058,6.45,0.06447974100864991,0.68,0.006833931913602104,2.79,0.027907329657544642,0.91,0.00914057362537306
09,baix ebre,65553,4137,1778,5045,503,1089,1840,79945,82.0,0.8199762336606417,5.17,0.051748076802801926,2.22,0.022240290199512163,6.31,0.0631058852961411,0.63,0.006291825630120708,1.36,0.013621865032209643,2.3,0.023015823378572768
10,baix emporda,110768,6570,4472,10778,2406,2227,974,138195,80.15,0.8015340641846666,4.75,0.0475415174210355,3.24,0.03236007091428778,7.8,0.07799124425630449,1.74,0.017410181265602953,1.61,0.016114910090813707,0.7,0.007048011867288976
11,baix llobregat,741791,20896,6745,21512,7329,22469,11337,832079,89.15,0.8914910723621194,2.51,0.025113000087732054,0.81,0.008106201454429206,2.59,0.025853314408848197,0.88,0.008808057888734122,2.7,0.027003445586296495,1.36,0.013624908211840462
12,baix penedes,94994,4342,1530,6198,868,3319,1009,112260,84.62,0.8461963299483343,3.87,0.03867806876892927,1.36,0.013629075360769643,5.52,0.05521111704970604,0.77,0.00773205059682879,2.96,0.029565294851238197,0.9,0.008988063424193836
13,barcelones,1797823,105540,39312,41800,52615,111410,110535,2259035,79.58,0.7958367178906037,4.67,0.04671906367099226,1.74,0.017402120817074547,1.85,0.018503476041761193,2.33,0.02329091846739869,4.93,0.04931751832087595,4.89,0.04893018479129363
