codi,comarca,total_homes,total_dones,total
01,alt camp,1050,1378,2427
02,alt emporda,2709,3659,6368
03,alt penedes,2050,2949,4998
04,alt urgell,307,434,740
05,alta ribagorca,47,55,101
06,anoia,2739,4198,6937
07,bages,3993,5270,9263
08,baix camp,4303,6249,10551
09,baix ebre,1735,2163,3897
10,baix emporda,2270,2951,5220
11,baix llobregat,14988,20833,35820
12,baix penedes,3035,4301,7335
13,barcelones,42970,53732,96701
14,bergueda,739,1034,1772
15,cerdanya,199,270,468
16,conca de barbera,337,415,751
17,garraf,3308,4429,7736
18,garrigues,337,379,716
19,garrotxa,903,1086,1989
20,girones,4066,4833,8899
21,maresme,9350,12741,22090
22,montsia,1445,2036,3480
23,noguera,844,1010,1854
24,osona,2985,3998,6982
25,pallars jussa,255,273,527
26,pallars sobira,98,111,209
27,pla d'urgell,648,871,1519
28,pla de l'estany,468,576,1043
29,priorat,143,186,329
30,ribera d'ebre,425,551,976
31,ripolles,362,475,837
32,segarra,322,437,758
33,segria,4441,5935,10375
34,selva,3583,4905,8487
35,solsones,196,268,463
36,tarragones,5431,7673,13104
37,terra alta,164,196,360
38,urgell,648,962,1610
39,aran,113,115,228
40,valles occidental,19218,27177,46394
41,valles oriental,8212,11609,19820
42,moianes,217,310,527
