codi,comarca,sexe,repetixen,dones,homes,total,pct_repetidors_dones,pct_repetidors_homes,ratio_repetidors_dones,ratio_repetidors_homes
01,alt camp,dona,52,22207.0,22871.0,45078.0,0.23416039987391363,0.22736216168947576,0.0023416039987391364,0.0022736216168947575
01,alt camp,home,85,22207.0,22871.0,45078.0,0.38276219210158957,0.3716496873770277,0.0038276219210158957,0.0037164968737702767
02,alt emporda,dona,115,71368.0,72029.0,143397.0,0.16113664387400517,0.1596579155617876,0.0016113664387400516,0.001596579155617876
02,alt emporda,home,201,71368.0,72029.0,143397.0,0.281638829727609,0.279054269807994,0.00281638829727609,0.0027905426980799402
03,alt penedes,dona,53,55158.0,55040.0,110198.0,0.09608760288625404,0.0962936046511628,0.0009608760288625403,0.000962936046511628
03,alt penedes,home,139,55158.0,55040.0,110198.0,0.2520033358714964,0.25254360465116277,0.0025200333587149645,0.0025254360465116277
04,alt urgell,dona,10,10207.0,10237.0,20444.0,0.09797198001371607,0.09768486861385171,0.0009797198001371607,0.000976848686138517
04,alt urgell,home,34,10207.0,10237.0,20444.0,0.33310473204663466,0.33212855328709584,0.0033310473204663468,0.0033212855328709585
05,alta ribagorca,dona,4,1927.0,2033.0,3960.0,0.2075765438505449,0.1967535661583866,0.0020757654385054488,0.001967535661583866
05,alta ribagorca,home,6,1927.0,2033.0,3960.0,0.3113648157758173,0.2951303492375799,0.0031136481577581734,0.002951303492375799
06,anoia,dona,102,61580.0,62550.0,124130.0,0.16563819421890225,0.16306954436450838,0.0016563819421890225,0.001630695443645084
06,anoia,home,207,61580.0,62550.0,124130.0,0.3361481000324781,0.33093525179856115,0.003361481000324781,0.0033093525179856116
07,bages,dona,98,91096.0,89591.0,180687.0,0.10757881795029418,0.10938598743177327,0.0010757881795029419,0.0010938598743177328
07,bages,home,172,91096.0,89591.0,180687.0,0.1888118029331694,0.19198356977821432,0.001888118029331694,0.0019198356977821432
08,baix camp,dona,177,98999.0,96097.0,195096.0,0.17878968474429033,0.18418889247323017,0.0017878968474429034,0.0018418889247323017
08,baix camp,home,289,98999.0,96097.0,195096.0,0.2919221406276831,0.3007377961851046,0.0029192214062768312,0.003007377961851046
09,baix ebre,dona,57,39037.0,39930.0,78967.0,0.1460153188001127,0.14274981217129976,0.001460153188001127,0.0014274981217129977
09,baix ebre,home,102,39037.0,39930.0,78967.0,0.26129057048441223,0.2554470323065364,0.0026129057048441223,0.0025544703230653645
10,baix emporda,dona,74,68445.0,68588.0,137033.0,0.108116005551903,0.10789059310666589,0.00108116005551903,0.001078905931066659
10,baix emporda,home,113,68445.0,68588.0,137033.0,0.16509606253195996,0.16475185163585468,0.0016509606253195996,0.0016475185163585468
11,baix llobregat,dona,558,423448.0,408926.0,832374.0,0.13177533014679488,0.13645500652929868,0.0013177533014679488,0.001364550065292987
11,baix llobregat,home,1114,423448.0,408926.0,832374.0,0.26307834728231094,0.27242092701368953,0.0026307834728231095,0.002724209270136895
12,baix penedes,dona,99,54821.0,55336.0,110157.0,0.18058773097900438,0.1789070406245482,0.0018058773097900439,0.0017890704062454822
12,baix penedes,home,190,54821.0,55336.0,110157.0,0.3465825140001095,0.34335694665317334,0.0034658251400010946,0.0034335694665317334
13,barcelones,dona,1398,1181328.0,1088594.0,2269922.0,0.11834139206046076,0.1284225340209481,0.0011834139206046076,0.0012842253402094812
13,barcelones,home,2305,1181328.0,1088594.0,2269922.0,0.19511939105819892,0.21174101639362333,0.001951193910581989,0.002117410163936233
14,bergueda,dona,11,19989.0,19997.0,39986.0,0.05503026664665567,0.05500825123768566,0.0005503026664665567,0.0005500825123768566
14,bergueda,home,31,19989.0,19997.0,39986.0,0.1550852969133023,0.1550232534880232,0.001550852969133023,0.001550232534880232
15,cerdanya,dona,12,9424.0,9824.0,19248.0,0.1273344651952462,0.12214983713355047,0.0012733446519524619,0.0012214983713355048
15,cerdanya,home,32,9424.0,9824.0,19248.0,0.3395585738539898,0.32573289902280134,0.003395585738539898,0.003257328990228013
16,conca de barbera,dona,7,9825.0,10334.0,20159.0,0.07124681933842239,0.06773756531836655,0.000712468193384224,0.0006773756531836656
16,conca de barbera,home,20,9825.0,10334.0,20159.0,0.2035623409669211,0.19353590090961872,0.002035623409669211,0.0019353590090961873
17,garraf,dona,113,77962.0,76245.0,154207.0,0.1449424078397168,0.14820643976654208,0.0014494240783971678,0.0014820643976654207
17,garraf,home,221,77962.0,76245.0,154207.0,0.28347143480157,0.2898550724637681,0.0028347143480157,0.002898550724637681
18,garrigues,dona,5,9045.0,9987.0,19032.0,0.055279159756771695,0.05006508460999299,0.000552791597567717,0.0005006508460999299
18,garrigues,home,30,9045.0,9987.0,19032.0,0.33167495854063017,0.30039050765995795,0.003316749585406302,0.0030039050765995794
19,garrotxa,dona,26,29285.0,29729.0,59014.0,0.08878265323544478,0.08745669211880655,0.0008878265323544477,0.0008745669211880655
19,garrotxa,home,71,29285.0,29729.0,59014.0,0.24244493768140687,0.2388240438628948,0.0024244493768140686,0.002388240438628948
20,girones,dona,130,98979.0,97299.0,196278.0,0.1313409915234545,0.13360877295758433,0.0013134099152345448,0.0013360877295758434
20,girones,home,272,98979.0,97299.0,196278.0,0.2748057668798432,0.2795506634189457,0.002748057668798432,0.002795506634189457
21,maresme,dona,253,232591.0,227596.0,460187.0,0.10877463014476055,0.11116188333714125,0.0010877463014476055,0.0011116188333714124
21,maresme,home,547,232591.0,227596.0,460187.0,0.23517676952246647,0.24033814302536072,0.0023517676952246646,0.002403381430253607
