codi,comarca,poblacio_total_16_a_24_anys,poblacio_homes_16_a_24_anys,poblacio_dones_16_a_24_anys
01,alt camp,4176,2195,1981
02,alt emporda,13092,6756,6336
03,alt penedes,10094,5160,4934
04,alt urgell,1678,882,796
05,alta ribagorca,277,134,143
06,anoia,11419,5971,5448
07,bages,16212,8458,7754
08,baix camp,18195,9281,8914
09,baix ebre,7041,3799,3242
10,baix emporda,12058,6221,5837
11,baix llobregat,77491,40016,37475
12,baix penedes,9543,4872,4671
13,barcelones,197879,101797,96082
14,bergueda,3163,1646,1517
15,cerdanya,1719,929,790
16,conca de barbera,1737,944,793
17,garraf,13939,7197,6742
18,garrigues,1551,867,684
19,garrotxa,5399,2935,2464
20,girones,20001,10474,9527
21,maresme,42113,22233,19880
22,montsia,6022,3186,2836
23,noguera,3493,1924,1569
24,osona,15577,8203,7374
25,pallars jussa,1070,558,512
26,pallars sobira,543,291,252
27,pla d'urgell,3383,1799,1584
28,pla de l'estany,3117,1610,1507
29,priorat,694,382,312
30,ribera d'ebre,1821,919,902
31,ripolles,1838,967,871
32,segarra,2340,1290,1050
33,segria,19648,10423,9225
34,selva,16531,8898,7633
35,solsones,1217,638,579
36,tarragones,24257,12569,11688
37,terra alta,879,456,423
38,urgell,3367,1768,1599
39,aran,854,461,393
40,valles occidental,90713,46708,44005
41,valles oriental,40002,20971,19031
42,moianes,1331,703,628
