codi,comarca,total_homes,total_dones,total
01,alt camp,1392,1704,3095
02,alt emporda,3886,4773,8658
03,alt penedes,2632,3528,6160
04,alt urgell,444,522,965
05,alta ribagorca,70,69,138
06,anoia,3562,4932,8494
07,bages,5053,6135,11188
08,baix camp,6129,7934,14063
09,baix ebre,2299,2677,4975
10,baix emporda,3396,4019,7414
11,baix llobregat,20279,26292,46571
12,baix penedes,3784,5077,8860
13,barcelones,60975,71157,132131
14,bergueda,907,1182,2089
15,cerdanya,271,344,615
16,conca de barbera,455,500,955
17,garraf,4263,5580,9843
18,garrigues,396,394,789
19,garrotxa,1194,1382,2575
20,girones,5344,5938,11282
21,maresme,12569,16037,28606
22,montsia,1876,2460,4335
23,noguera,896,1163,2059
24,osona,3842,4940,8781
25,pallars jussa,328,350,677
26,pallars sobira,160,159,319
27,pla d'urgell,758,953,1711
28,pla de l'estany,630,687,1317
29,priorat,204,238,442
30,ribera d'ebre,548,622,1170
31,ripolles,512,568,1079
32,segarra,378,485,863
33,segria,5779,7110,12888
34,selva,5072,6383,11455
35,solsones,252,300,552
36,tarragones,7745,10000,17745
37,terra alta,192,245,437
38,urgell,859,1154,2013
39,aran,235,203,438
40,valles occidental,24978,32999,57977
41,valles oriental,10637,14473,25109
42,moianes,259,352,611
