codi,comarca,16-24,25+,total
01,alt camp,268,2827,3095
02,alt emporda,787,7872,8658
03,alt penedes,423,5737,6160
04,alt urgell,71,895,965
05,alta ribagorca,12,127,138
06,anoia,769,7725,8494
07,bages,851,10338,11188
08,baix camp,1303,12760,14063
09,baix ebre,455,4520,4975
10,baix emporda,558,6857,7414
11,baix llobregat,3730,42841,46571
12,baix penedes,830,8030,8860
13,barcelones,9118,123013,132131
14,bergueda,136,1954,2089
15,cerdanya,39,576,615
16,conca de barbera,74,882,955
17,garraf,665,9178,9843
18,garrigues,57,732,789
19,garrotxa,199,2377,2575
20,girones,1131,10151,11282
21,maresme,1979,26627,28606
22,montsia,377,3958,4335
23,noguera,186,1873,2059
24,osona,765,8016,8781
25,pallars jussa,60,617,677
26,pallars sobira,28,291,319
27,pla d'urgell,126,1585,1711
28,pla de l'estany,129,1189,1317
29,priorat,29,413,442
30,ribera d'ebre,88,1082,1170
31,ripolles,84,995,1079
32,segarra,75,789,863
33,segria,1055,11834,12888
34,selva,1087,10368,11455
35,solsones,49,503,552
36,tarragones,1684,16061,17745
37,terra alta,33,404,437
38,urgell,160,1853,2012
39,aran,44,394,438
40,valles occidental,4631,53346,57977
41,valles oriental,1946,23163,25109
42,moianes,50,561,611
