codi,comarca,analfabetisme_total,educacio primaria incompleta_total,educacio primaria_total,educacio secundaria_total,formacio professional_total,graus universitaris_total,masters universitaris_total,doctorat universitari_total,total
01,alt camp,105,1370,4445,21815,4015,5460,705,220,38135
02,alt emporda,335,5810,15730,71940,7180,17160,1830,655,120640
03,alt penedes,185,2155,11870,50080,9155,15475,1825,640,91385
04,alt urgell,40,650,2085,9815,1485,2960,430,135,17600
05,alta ribagorca,10,130,375,1725,315,700,65,30,3350
06,anoia,340,3180,11920,59950,10460,14910,1795,490,103045
07,bages,360,4375,19750,84430,14000,25730,3035,905,152585
08,baix camp,1240,5960,17960,90270,15125,26890,3925,1220,162590
09,baix ebre,140,3050,9595,38830,5260,8815,1435,320,67445
10,baix emporda,595,3535,14240,65945,8420,19675,2050,750,115210
11,baix llobregat,2435,22205,77320,370695,79290,130220,14585,5455,702205
12,baix penedes,160,2145,11415,53945,8575,13015,1200,515,90970
13,barcelones,5485,66405,218560,915860,169330,523630,74530,36315,2010115
14,bergueda,70,690,4800,19085,3605,5665,780,165,34860
15,cerdanya,15,320,1515,9260,1325,3190,360,120,16105
16,conca de barbera,15,565,2220,9865,1680,2575,330,85,17335
17,garraf,310,1915,14040,67085,11390,31350,3110,1420,130620
18,garrigues,20,575,2695,9310,1535,2200,295,75,16705
19,garrotxa,85,1895,6905,27030,4395,8520,1045,335,50210
20,girones,800,5410,17900,86705,12155,32670,5135,2190,162965
21,maresme,1250,14050,39185,203665,35705,80945,9285,3630,387715
22,montsia,250,2275,8265,34285,5420,7155,1030,210,58890
23,noguera,180,1300,4705,19305,2685,4700,590,140,33605
24,osona,360,4105,17190,76475,11615,23680,3095,980,137500
25,pallars jussa,15,455,1755,5785,1300,2070,280,75,11735
26,pallars sobira,0,125,635,3010,760,1340,170,60,6100
27,pla d'urgell,125,1050,4605,18055,2955,4225,540,130,31685
28,pla de l'estany,175,1015,2995,14245,2395,5090,920,295,27130
29,priorat,25,165,1000,4600,820,1325,160,65,8160
30,ribera d'ebre,60,600,3085,10520,2050,2620,350,70,19355
31,ripolles,75,865,2980,11970,2125,3470,395,130,22010
32,segarra,15,965,2655,11500,1515,2615,325,75,19665
33,segria,720,6780,21010,98095,15590,31715,4560,1755,180225
34,selva,680,5075,17135,90960,11270,20250,2175,730,148275
35,solsones,25,635,1405,5960,1275,1895,255,70,11520
36,tarragones,820,6140,25345,118165,22415,40040,6265,2605,221795
37,terra alta,30,485,1905,5800,620,1085,170,30,10125
38,urgell,80,785,4295,18095,2755,4645,565,165,31385
39,aran,10,125,665,5115,910,1775,175,45,8820
40,valles occidental,2935,19915,85220,411200,78185,155305,20030,8725,781515
41,valles oriental,830,10070,38395,192120,36875,60150,6975,2400,347815
42,moianes,5,160,1390,6450,1100,2380,275,105,11865
