codi,comarca,recursos._remuneracion_asalariados,recursos._excedente_bruto_explotacion,recursos._prestaciones_sociales,usos._cotizaciones_sociales,usos._impuestos
01,alt camp,549547,158967,237283,170612,90319
02,alt emporda,1451220,590288,603165,481126,297021
03,alt penedes,1514625,432157,585561,461966,260083
04,alt urgell,183086,80550,96098,61099,33868
05,alta ribagorca,41550,19002,18379,14397,7793
06,anoia,1554453,443514,656201,481375,259235
07,bages,2301889,621105,1117425,703503,414278
08,baix camp,2441995,710356,964766,756279,445029
09,baix ebre,797438,289981,388141,256548,139233
10,baix emporda,1455218,618889,614834,479768,316470
11,baix llobregat,12709388,3632944,4603493,3808997,2391961
12,baix penedes,1198748,412090,560685,379216,202448
13,barcelones,33564787,11761953,14345976,10291564,7970199
14,bergueda,427299,157064,286900,138351,77014
15,cerdanya,193338,113103,71770,68313,42824
16,conca de barbera,242764,79384,108299,77287,40728
17,garraf,2215344,760933,807715,682075,474091
18,garrigues,185039,73627,94400,63159,30893
19,garrotxa,770887,213297,315298,234984,136038
20,girones,2767388,769129,932851,834856,566537
21,maresme,6293385,2240791,2415302,1958559,1315144
22,montsia,634112,243781,316588,209524,103189
23,noguera,394222,144799,177526,131881,67930
24,osona,2301676,638260,860881,700696,397180
25,pallars jussa,130583,51491,73777,43831,24100
26,pallars sobira,69803,36660,32475,25553,13285
27,pla d'urgell,452950,128722,160676,141551,76224
28,pla de l'estany,458547,139459,150763,139421,82977
29,priorat,88111,43138,45298,30655,14631
30,ribera d'ebre,244428,79027,121593,76564,45603
31,ripolles,297873,106819,169885,95007,57834
32,segarra,289077,78156,97334,90436,50872
33,segria,2740200,724708,1032661,840307,492989
34,selva,1861123,647321,843502,607315,330621
35,solsones,144582,56091,68624,48980,24721
36,tarragones,3332131,938505,1319901,1020089,658682
37,terra alta,89316,51820,60660,33874,13578
38,urgell,422549,125557,175172,134269,70506
39,aran,122700,51540,44508,41609,26769
40,valles occidental,14287299,4078778,5055547,4282462,2718617
41,valles oriental,6007706,1811038,2174667,1827152,1078269
42,moianes,183386,65576,69498,58324,37226
