codi,comarca,rfdb_(miles_de_euros),rfdb_por_habitante_(euros),rfdb_por_habitante_(index_catalunya=100_por_habitante)
01,alt camp,688231,15537,88.9
02,alt emporda,1978509,14393,82.3
03,alt penedes,1765253,16340,93.5
04,alt urgell,276699,13713,78.4
05,alta ribagorca,57443,15051,86.1
06,anoia,1864557,15540,88.9
07,bages,2925324,16640,95.2
08,baix camp,2914259,15248,87.2
09,baix ebre,1067849,13835,79.1
10,baix emporda,1928117,14630,83.7
11,baix llobregat,14797957,18146,103.8
12,baix penedes,1475708,14296,81.8
13,barcelones,44149186,19603,112.1
14,bergueda,660485,16880,96.6
15,cerdanya,273828,15317,87.6
16,conca de barbera,313755,15741,90.0
17,garraf,2610566,17742,101.5
18,garrigues,262094,13889,79.4
19,garrotxa,941881,16812,96.2
20,girones,3078573,16440,94.0
21,maresme,7824301,17604,100.7
22,montsia,869290,12768,73.0
23,noguera,522041,13660,78.1
24,osona,2684563,17026,97.4
25,pallars jussa,185752,14374,82.2
26,pallars sobira,103561,15016,85.9
27,pla d'urgell,528408,14285,81.7
28,pla de l'estany,526458,16479,94.3
29,priorat,132088,14357,82.1
30,ribera d'ebre,319529,14748,84.4
31,ripolles,422440,16968,97.1
32,segarra,323436,14363,82.2
33,segria,3206824,15619,89.3
34,selva,2438731,14570,83.3
35,solsones,201647,14851,84.9
36,tarragones,3881486,15191,86.9
37,terra alta,157641,13864,79.3
38,urgell,515846,14233,81.4
39,aran,156314,15759,90.1
40,valles occidental,16292531,17714,101.3
41,valles oriental,7002267,17207,98.4
42,moianes,224543,16749,95.8
