codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
01,alt camp,38948,1214,448,2609,165,474,207,44065,88.39,0.8838760921366163,2.76,0.02755020991716782,1.02,0.010166799046862589,5.92,0.059207988199251105,0.37,0.0037444683989560877,1.08,0.010756836491546578,0.47,0.004697605809599456
02,alt emporda,106913,12101,2045,12760,1960,3758,1032,140569,76.06,0.7605730993320007,8.61,0.08608583684880734,1.45,0.014548015565309564,9.08,0.0907739259722983,1.39,0.013943330321763689,2.67,0.02673420170876936,0.73,0.007341590251051086
03,alt penedes,96818,1884,616,5987,505,1635,677,108122,89.55,0.895451434490668,1.74,0.01742476091822201,0.57,0.005697267901074712,5.54,0.05537263461645179,0.47,0.004670649821497937,1.51,0.015121806847820055,0.63,0.006261445404265552
04,alt urgell,17958,1052,217,333,106,446,112,20224,88.8,0.8879549050632911,5.2,0.05201740506329114,1.07,0.010729825949367089,1.65,0.016465585443037976,0.52,0.0052412974683544306,2.21,0.022053006329113924,0.55,0.005537974683544304
05,alta ribagorca,3364,176,55,98,14,61,6,3774,89.14,0.8913619501854796,4.66,0.04663487016428193,1.46,0.014573396926338102,2.6,0.025967143614202437,0.37,0.0037095919448860626,1.62,0.016163222045574986,0.16,0.001589825119236884
06,anoia,109805,1769,538,4677,430,1057,813,119089,92.2,0.9220414983751648,1.49,0.014854436597838592,0.45,0.004517629671926039,3.93,0.03927314865352803,0.36,0.0036107449050709972,0.89,0.008875714801534986,0.68,0.0068268269949365605
07,bages,157710,3743,1146,9298,924,2243,1421,176485,89.36,0.8936170212765957,2.12,0.0212086012975607,0.65,0.006493469699974502,5.27,0.05268436411026433,0.52,0.005235572428251693,1.27,0.012709295407541718,0.81,0.008051675779811316
08,baix camp,159713,8934,2108,11253,1016,4267,1550,188841,84.58,0.8457538352370513,4.73,0.047309641444389726,1.12,0.011162830105750341,5.96,0.059589813652755494,0.54,0.005380187565200353,2.26,0.02259572868180109,0.82,0.00820796331305172
09,baix ebre,65181,4569,1057,4443,372,821,1425,77868,83.71,0.8370704268762521,5.87,0.05867622129758052,1.36,0.013574253865516002,5.71,0.05705809832023424,0.48,0.004777315456927107,1.05,0.010543483844454719,1.83,0.018300200339035292
10,baix emporda,107782,7227,3046,10847,1883,1834,842,133461,80.76,0.8075917309176464,5.42,0.054150650751905054,2.28,0.022823146836903663,8.13,0.08127467949438413,1.41,0.014108990641460801,1.37,0.013741842186106802,0.63,0.006308959171593199
