codi,comarca,analfabetisme_total,educacio primaria incompleta_total,educacio primaria_total,educacio secundaria_total,formacio professional_total,graus universitaris_total,masters universitaris_total,doctorat universitari_total,total
01,alt camp,120,1540,4530,21440,3785,5145,565,185,37310
02,alt emporda,385,6630,15960,70475,6590,16015,1505,575,118135
03,alt penedes,220,2365,12485,49395,8355,14545,1430,540,89335
04,alt urgell,50,805,2120,9820,1415,2840,360,110,17520
05,alta ribagorca,10,155,405,1715,275,700,65,25,3350
06,anoia,370,3500,12360,57705,9535,13745,1360,410,98985
07,bages,400,4875,20380,82655,12915,24060,2410,780,148475
08,baix camp,1280,6765,17930,88395,13895,24675,3125,1000,157065
09,baix ebre,185,3460,9885,38650,4860,8380,1200,260,66880
10,baix emporda,630,4105,14510,64670,7630,18440,1765,635,112385
11,baix llobregat,2950,25060,80570,364585,73240,120470,11150,4510,682535
12,baix penedes,200,2435,11160,51465,7685,11575,940,390,85850
13,barcelones,7210,82505,224005,901710,157745,493650,58285,30685,1955795
14,bergueda,85,750,5200,18655,3390,5245,625,130,34080
15,cerdanya,15,325,1580,8950,1170,2970,310,110,15430
16,conca de barbera,20,610,2365,9845,1600,2460,290,70,17260
17,garraf,450,2925,14150,66175,10275,28655,2375,1165,126170
18,garrigues,25,595,2940,9185,1415,2110,235,60,16565
19,garrotxa,95,1985,7050,26100,3965,7980,815,275,48265
20,girones,775,5920,18070,83220,11175,31140,4290,1820,156410
21,maresme,1675,14875,40415,200260,32885,75330,7210,3035,375685
22,montsia,295,2380,8565,33435,5055,6710,845,185,57470
23,noguera,235,1470,4865,18830,2580,4545,505,115,33145
24,osona,360,4440,17885,73740,10645,22100,2475,820,132465
25,pallars jussa,15,520,1855,5680,1265,1955,235,65,11590
26,pallars sobira,5,145,735,3045,715,1250,135,45,6075
27,pla d'urgell,135,1145,4935,17640,2860,4020,430,110,31275
28,pla de l'estany,180,1055,3135,14055,2205,4735,800,255,26420
29,priorat,15,185,1095,4665,785,1275,115,55,8190
30,ribera d'ebre,45,710,3245,10590,1980,2460,290,65,19385
31,ripolles,80,1010,3215,11745,1970,3270,330,115,21735
32,segarra,25,1025,2845,11220,1320,2470,245,65,19215
33,segria,780,7730,21030,96155,14445,30045,3805,1500,175490
34,selva,685,5505,17520,88190,10190,18385,1660,625,142760
35,solsones,35,730,1425,5920,1215,1765,205,65,11360
36,tarragones,1015,6755,24250,115460,20815,36830,5185,2160,212470
37,terra alta,30,540,2075,5740,575,1025,155,20,10160
38,urgell,80,920,4750,17235,2540,4365,455,125,30470
39,aran,15,150,710,5055,840,1650,140,35,8595
40,valles occidental,3525,23120,87375,403300,72000,146125,15850,7680,758975
41,valles oriental,1035,11435,39580,188510,33715,56045,5380,1970,337670
42,moianes,5,170,1530,6160,990,2170,215,90,11330
