codi,comarca,tipus_estudis,sexe,valor,any
22,montsia,educacio_obligatoria,homes,22305,2022
22,montsia,estudis_superiors,dones,8079,2022
22,montsia,educacio_obligatoria,dones,20094,2022
23,noguera,educacio_obligatoria,dones,10683,2022
23,noguera,educacio_obligatoria,homes,13002,2022
23,noguera,estudis_superiors,homes,3816,2022
23,noguera,sense_educacio,dones,672,2022
23,noguera,sense_educacio,homes,642,2022
23,noguera,estudis_superiors,dones,4773,2022
24,osona,sense_educacio,homes,1587,2022
24,osona,sense_educacio,dones,2532,2022
24,osona,estudis_superiors,homes,18471,2022
24,osona,estudis_superiors,dones,23145,2022
24,osona,educacio_obligatoria,homes,49476,2022
24,osona,educacio_obligatoria,dones,43635,2022
25,pallars jussa,sense_educacio,homes,156,2022
25,pallars jussa,educacio_obligatoria,dones,3372,2022
25,pallars jussa,sense_educacio,dones,240,2022
25,pallars jussa,estudis_superiors,dones,2085,2022
25,pallars jussa,estudis_superiors,homes,1902,2022
25,pallars jussa,educacio_obligatoria,homes,3921,2022
26,pallars sobira,sense_educacio,homes,48,2022
26,pallars sobira,sense_educacio,dones,63,2022
26,pallars sobira,estudis_superiors,homes,1257,2022
26,pallars sobira,estudis_superiors,dones,1338,2022
26,pallars sobira,educacio_obligatoria,homes,1956,2022
26,pallars sobira,educacio_obligatoria,dones,1653,2022
27,pla d'urgell,estudis_superiors,dones,4605,2022
27,pla d'urgell,educacio_obligatoria,dones,10146,2022
27,pla d'urgell,educacio_obligatoria,homes,12123,2022
27,pla d'urgell,sense_educacio,homes,495,2022
27,pla d'urgell,estudis_superiors,homes,3621,2022
27,pla d'urgell,sense_educacio,dones,552,2022
28,pla de l'estany,educacio_obligatoria,dones,8196,2022
28,pla de l'estany,educacio_obligatoria,homes,8919,2022
28,pla de l'estany,estudis_superiors,dones,5184,2022
28,pla de l'estany,estudis_superiors,homes,4146,2022
28,pla de l'estany,sense_educacio,dones,534,2022
28,pla de l'estany,sense_educacio,homes,501,2022
29,priorat,educacio_obligatoria,dones,2490,2022
29,priorat,educacio_obligatoria,homes,2988,2022
29,priorat,estudis_superiors,dones,1326,2022
29,priorat,estudis_superiors,homes,1236,2022
29,priorat,sense_educacio,dones,105,2022
29,priorat,sense_educacio,homes,99,2022
30,ribera d'ebre,sense_educacio,dones,372,2022
30,ribera d'ebre,estudis_superiors,dones,2781,2022
30,ribera d'ebre,educacio_obligatoria,homes,6918,2022
30,ribera d'ebre,educacio_obligatoria,dones,6303,2022
30,ribera d'ebre,sense_educacio,homes,252,2022
30,ribera d'ebre,estudis_superiors,homes,2574,2022
31,ripolles,educacio_obligatoria,dones,7173,2022
31,ripolles,estudis_superiors,dones,3558,2022
31,ripolles,educacio_obligatoria,homes,7647,2022
31,ripolles,sense_educacio,homes,309,2022
31,ripolles,sense_educacio,dones,498,2022
31,ripolles,estudis_superiors,homes,3210,2022
32,segarra,educacio_obligatoria,dones,6327,2022
32,segarra,educacio_obligatoria,homes,7800,2022
32,segarra,estudis_superiors,homes,2238,2022
32,segarra,sense_educacio,dones,459,2022
32,segarra,sense_educacio,homes,462,2022
32,segarra,estudis_superiors,dones,2688,2022
33,segria,sense_educacio,homes,3279,2022
33,segria,sense_educacio,dones,3771,2022
33,segria,estudis_superiors,homes,24690,2022
33,segria,estudis_superiors,dones,30495,2022
33,segria,educacio_obligatoria,homes,62820,2022
33,segria,educacio_obligatoria,dones,54792,2022
34,selva,estudis_superiors,homes,16683,2022
34,selva,estudis_superiors,dones,20574,2022
34,selva,educacio_obligatoria,homes,57153,2022
34,selva,educacio_obligatoria,dones,51171,2022
34,selva,sense_educacio,dones,2985,2022
34,selva,sense_educacio,homes,2553,2022
35,solsones,educacio_obligatoria,dones,3411,2022
35,solsones,sense_educacio,homes,282,2022
35,solsones,sense_educacio,dones,339,2022
35,solsones,estudis_superiors,homes,1785,2022
35,solsones,estudis_superiors,dones,2034,2022
35,solsones,educacio_obligatoria,homes,3840,2022
36,tarragones,educacio_obligatoria,homes,71850,2022
36,tarragones,educacio_obligatoria,dones,69270,2022
36,tarragones,estudis_superiors,homes,35286,2022
36,tarragones,estudis_superiors,dones,39765,2022
36,tarragones,sense_educacio,homes,2349,2022
36,tarragones,sense_educacio,dones,4134,2022
37,terra alta,educacio_obligatoria,dones,3552,2022
37,terra alta,sense_educacio,homes,186,2022
37,terra alta,sense_educacio,dones,258,2022
37,terra alta,estudis_superiors,homes,903,2022
37,terra alta,estudis_superiors,dones,1158,2022
37,terra alta,educacio_obligatoria,homes,4044,2022
38,urgell,sense_educacio,homes,381,2022
38,urgell,sense_educacio,dones,459,2022
38,urgell,estudis_superiors,homes,3786,2022
38,urgell,estudis_superiors,dones,4869,2022
38,urgell,educacio_obligatoria,homes,11937,2022
38,urgell,educacio_obligatoria,dones,10227,2022
39,aran,sense_educacio,dones,81,2022
39,aran,educacio_obligatoria,dones,2622,2022
39,aran,educacio_obligatoria,homes,3069,2022
39,aran,estudis_superiors,dones,1626,2022
39,aran,estudis_superiors,homes,1458,2022
39,aran,sense_educacio,homes,45,2022
40,valles occidental,educacio_obligatoria,dones,243471,2022
40,valles occidental,sense_educacio,homes,7443,2022
40,valles occidental,sense_educacio,dones,14817,2022
40,valles occidental,educacio_obligatoria,homes,247140,2022
40,valles occidental,estudis_superiors,dones,147159,2022
40,valles occidental,estudis_superiors,homes,129456,2022
41,valles oriental,estudis_superiors,homes,52494,2022
41,valles oriental,estudis_superiors,dones,61179,2022
41,valles oriental,educacio_obligatoria,homes,118182,2022
41,valles oriental,educacio_obligatoria,dones,110805,2022
41,valles oriental,sense_educacio,homes,4269,2022
41,valles oriental,sense_educacio,dones,6411,2022
