codi,comarca,alumnes_homes_16_24_anys,alumnes_dones_16_24_anys,alumnes_total_16_24_anys,alumnes_homes_+25_anys,alumnes_dones_+25_anys,alumnes_total_+25_anys,any
10,baix emporda,151,114,265,533,759,1292,2019
11,baix llobregat,1042,711,1753,4162,4178,8340,2019
12,baix penedes,67,64,131,71,187,258,2019
13,barcelones,2267,1903,4170,4934,10396,15330,2019
14,bergueda,31,15,46,50,70,120,2019
15,cerdanya,0,0,0,0,0,0,2019
16,conca de barbera,13,11,24,28,73,101,2019
17,garraf,147,105,252,250,529,779,2019
18,garrigues,0,0,0,0,0,0,2019
19,garrotxa,138,64,202,220,308,528,2019
20,girones,513,301,814,571,1026,1597,2019
21,maresme,467,351,818,1243,1981,3224,2019
22,montsia,49,23,72,79,222,301,2019
23,noguera,35,18,53,106,209,315,2019
24,osona,167,113,280,416,554,970,2019
25,pallars jussa,8,11,19,60,118,178,2019
26,pallars sobira,0,0,0,0,0,0,2019
27,pla d'urgell,43,38,81,144,419,563,2019
28,pla de l'estany,82,44,126,124,227,351,2019
29,priorat,0,0,0,0,0,0,2019
30,ribera d'ebre,41,12,53,137,154,291,2019
31,ripolles,8,7,15,54,72,126,2019
32,segarra,27,13,40,81,130,211,2019
33,segria,200,82,282,1099,697,1796,2019
34,selva,228,157,385,367,685,1052,2019
35,solsones,22,20,42,85,162,247,2019
36,tarragones,341,267,608,857,961,1818,2019
37,terra alta,0,0,0,0,0,0,2019
38,urgell,25,29,54,117,246,363,2019
39,aran,7,6,13,60,137,197,2019
40,valles occidental,945,743,1688,2030,4362,6392,2019
41,valles oriental,1001,370,1371,2001,2017,4018,2019
42,moianes,0,0,0,0,0,0,2019
01,alt camp,32,33,65,54,188,242,2018
02,alt emporda,144,81,225,527,212,739,2018
03,alt penedes,53,41,94,57,93,150,2018
04,alt urgell,13,21,34,82,233,315,2018
05,alta ribagorca,5,3,8,3,15,18,2018
06,anoia,36,24,60,38,49,87,2018
07,bages,89,93,182,459,448,907,2018
08,baix camp,184,143,327,326,541,867,2018
09,baix ebre,61,51,112,117,245,362,2018
10,baix emporda,192,147,339,488,715,1203,2018
11,baix llobregat,887,726,1613,2931,4002,6933,2018
12,baix penedes,86,65,151,51,140,191,2018
13,barcelones,2140,1856,3996,4905,10458,15363,2018
14,bergueda,17,9,26,52,88,140,2018
15,cerdanya,0,0,0,0,0,0,2018
16,conca de barbera,6,11,17,43,97,140,2018
17,garraf,138,120,258,254,602,856,2018
18,garrigues,0,0,0,0,0,0,2018
19,garrotxa,112,56,168,168,293,461,2018
20,girones,461,307,768,521,1135,1656,2018
21,maresme,513,309,822,1021,1740,2761,2018
22,montsia,72,28,100,93,220,313,2018
23,noguera,23,26,49,84,194,278,2018
24,osona,136,92,228,304,506,810,2018
25,pallars jussa,8,12,20,54,114,168,2018
26,pallars sobira,0,0,0,0,0,0,2018
27,pla d'urgell,32,50,82,159,442,601,2018
28,pla de l'estany,59,51,110,99,198,297,2018
29,priorat,0,0,0,0,0,0,2018
30,ribera d'ebre,21,33,54,132,184,316,2018
31,ripolles,11,15,26,42,89,131,2018
32,segarra,28,14,42,88,144,232,2018
33,segria,215,86,301,1282,739,2021,2018
34,selva,230,175,405,373,704,1077,2018
35,solsones,14,18,32,75,138,213,2018
36,tarragones,392,257,649,824,1059,1883,2018
37,terra alta,0,0,0,0,0,0,2018
38,urgell,30,33,63,95,230,325,2018
39,aran,4,5,9,42,115,157,2018
40,valles occidental,766,731,1497,1888,4378,6266,2018
41,valles oriental,871,354,1225,2000,2102,4102,2018
42,moianes,0,0,0,0,0,0,2018
