codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio,any
22,montsia,56693,5640,926,3089,329,1294,1037,69008,82.15,0.8215424298632042,8.17,0.0817296545328078,1.34,0.0134187340598191,4.48,0.0447629260375608,0.48,0.0047675631810804,1.88,0.0187514491073498,1.5,0.0150272432181776,2022
23,noguera,32085,2682,271,3168,112,683,187,39188,81.87,0.8187455343472492,6.84,0.0684393181586199,0.69,0.0069153822598754,8.08,0.0808410737981014,0.29,0.0028580177605389,1.74,0.0174288047361437,0.48,0.0047718689394712,2022
24,osona,137829,3508,948,15215,1120,2842,3317,164779,83.64,0.8364476055808082,2.13,0.0212891205796855,0.58,0.0057531602934839,9.23,0.0923357952166234,0.68,0.0067969826252131,1.72,0.0172473434114784,2.01,0.0201299922927072,2022
25,pallars jussa,11357,680,128,570,124,344,51,13254,85.69,0.8568733967104271,5.13,0.0513052663346914,0.97,0.0096574618982948,4.3,0.0430058850158442,0.94,0.0093556662139731,2.6,0.0259544288516674,0.38,0.0038478949751018,2022
26,pallars sobira,6496,381,34,83,46,148,29,7217,90.01,0.9000969932104753,5.28,0.0527920188443951,0.47,0.0047110987945129,1.15,0.0115006235277816,0.64,0.0063738395455175,2.05,0.0205071359290563,0.4,0.004018290148261,2022
27,pla d'urgell,29696,3001,279,3621,101,528,184,37410,79.38,0.7937984496124031,8.02,0.0802191927292167,0.75,0.0074578989574979,9.68,0.0967923015236567,0.27,0.0026998128842555,1.41,0.0141138732959101,0.49,0.0049184709970596,2022
28,pla de l'estany,28055,952,258,2231,594,503,300,32893,85.29,0.8529170340193962,2.89,0.0289423281549265,0.78,0.0078436141428267,6.78,0.0678259812118079,1.81,0.0180585534916243,1.53,0.0152920074179916,0.91,0.0091204815614264,2022
29,priorat,8187,444,126,402,44,95,13,9311,87.93,0.8792825690044034,4.77,0.0476855332402534,1.35,0.0135323810546665,4.32,0.0431747395553646,0.47,0.0047255933841692,1.02,0.0102029857158199,0.14,0.0013961980453227,2022
30,ribera d'ebre,18270,1162,759,1268,83,167,208,21917,83.36,0.8335994889811562,5.3,0.053018205046311,3.46,0.0346306520052926,5.79,0.0578546333896062,0.38,0.003787014646165,0.76,0.007619655974814,0.95,0.0094903499566546,2022
31,ripolles,22875,432,128,1118,302,537,186,25578,89.43,0.8943232465399953,1.69,0.0168895144264602,0.5,0.005004300570803,4.37,0.0437094377981077,1.18,0.0118070216592384,2.1,0.0209946047384471,0.73,0.0072718742669481,2022
32,segarra,16971,2185,1393,2477,112,376,100,23614,71.87,0.718683831625307,9.25,0.0925298551706614,5.9,0.0589904294062844,10.49,0.1048954010332853,0.47,0.0047429490979927,1.59,0.0159227576861184,0.42,0.0042347759803506,2022
33,segria,169756,11953,1835,19266,1306,4785,2572,211473,80.27,0.8027313179460263,5.65,0.056522582079036,0.87,0.008677230663016,9.11,0.0911038288575846,0.62,0.0061757292893182,2.26,0.0226270020286277,1.22,0.0121623091363909,2022
34,selva,141320,10068,5882,9337,2398,4062,3905,176972,79.85,0.798544402504351,5.69,0.056890355536469,3.32,0.0332368962321723,5.28,0.0527597586058811,1.36,0.013550166127975,2.3,0.0229527834911737,2.21,0.0220656375019777,2022
35,solsones,12102,615,85,612,61,162,48,13685,88.43,0.8843259042747533,4.49,0.0449397150164413,0.62,0.0062111801242236,4.47,0.0447204968944099,0.45,0.0044574351479722,1.18,0.0118377785896967,0.35,0.0035074899525027,2022
36,tarragones,216607,10742,4276,16311,1985,9251,4504,263676,82.15,0.8214892519607397,4.07,0.0407393922844703,1.62,0.0162168722219693,6.19,0.0618600100122878,0.75,0.0075281785221256,3.51,0.0350847251930399,1.71,0.0170815698053671,2022
37,terra alta,9852,981,130,116,90,104,146,11419,86.28,0.8627725720290743,8.59,0.0859094491636745,1.14,0.0113845345476836,1.02,0.0101585077502408,0.79,0.007881600840704,0.91,0.0091076276381469,1.28,0.0127857080304755,2022
38,urgell,30115,2333,645,3349,178,551,199,37370,80.59,0.8058603157613059,6.24,0.0624297564891624,1.73,0.0172598340915172,8.96,0.0896173401123896,0.48,0.0047631790206047,1.47,0.0147444474177147,0.53,0.0053251271073053,2022
39,aran,8570,838,97,259,107,329,43,10243,83.67,0.8366689446451235,8.18,0.0818119691496631,0.95,0.0094698818705457,2.53,0.0252855608708386,1.04,0.0104461583520453,3.21,0.0321194962413355,0.42,0.0041979888704481,2022
40,valles occidental,830725,18305,5869,33882,11005,26862,11708,938356,88.53,0.8852983302712404,1.95,0.0195075216655512,0.63,0.0062545558402141,3.61,0.0361078311429777,1.17,0.0117279582589123,2.86,0.0286266619491962,1.25,0.0124771408719078,2022
41,valles oriental,378367,6926,2412,14359,2789,8346,3559,416758,90.79,0.9078817923111254,1.66,0.0166187571684286,0.58,0.005787531373123,3.45,0.0344540476727501,0.67,0.0066921330844278,2.0,0.0200260102985425,0.85,0.0085397280916023,2022
42,moianes,13068,282,96,326,70,320,226,14388,90.83,0.908256880733945,1.96,0.0195996663886572,0.67,0.006672226855713,2.27,0.0226577703641923,0.49,0.0048651654156241,2.22,0.0222407561857103,1.57,0.0157075340561579,2022
01,alt camp,39062,1310,502,2989,229,702,284,45078,86.65,0.8665424375526865,2.91,0.0290607391632281,1.11,0.0111362527175118,6.63,0.0663072895869382,0.51,0.0050800834109765,1.56,0.0155730067882337,0.63,0.006300190780425,2021
