codi,comarca,dones,homes,total,any
40,valles occidental,469350,453832,923182,2019
41,valles oriental,204745,203720,408465,2019
42,moianes,6612,6941,13553,2019
01,alt camp,21794,22258,44052,2018
02,alt emporda,69273,69769,139042,2018
03,alt penedes,53852,53670,107522,2018
04,alt urgell,10128,10190,20318,2018
05,alta ribagorca,1843,1961,3804,2018
06,anoia,59194,59744,118938,2018
07,bages,88662,86651,175313,2018
08,baix camp,95904,93201,189105,2018
09,baix ebre,38346,38900,77246,2018
10,baix emporda,66281,66047,132328,2018
11,baix llobregat,413888,400543,814431,2018
12,baix penedes,50718,51290,102008,2018
13,barcelones,1169284,1064672,2233956,2018
14,bergueda,19569,19407,38976,2018
15,cerdanya,8660,9108,17768,2018
16,conca de barbera,9867,10270,20137,2018
17,garraf,74886,73125,148011,2018
18,garrigues,9026,9809,18835,2018
19,garrotxa,28171,28052,56223,2018
20,girones,95558,93597,189155,2018
21,maresme,225469,219651,445120,2018
22,montsia,33505,33755,67260,2018
23,noguera,18672,19872,38544,2018
24,osona,78828,78689,157517,2018
25,pallars jussa,6326,6680,13006,2018
26,pallars sobira,3373,3546,6919,2018
27,pla d'urgell,18006,18744,36750,2018
28,pla de l'estany,15992,15913,31905,2018
29,priorat,4406,4852,9258,2018
30,ribera d'ebre,10797,11079,21876,2018
31,ripolles,12491,12454,24945,2018
32,segarra,10916,11812,22728,2018
33,segria,102526,103582,206108,2018
34,selva,83102,85141,168243,2018
35,solsones,6609,6760,13369,2018
36,tarragones,127204,125478,252682,2018
37,terra alta,5598,5849,11447,2018
38,urgell,17859,18199,36058,2018
39,aran,4833,5111,9944,2018
40,valles occidental,465079,449753,914832,2018
41,valles oriental,203170,201885,405055,2018
42,moianes,6562,6834,13396,2018
