codi,comarca,total_repetixen,pct_repetidors_dones,ratio_repetidors_dones,pct_repetidors_homes,ratio_repetidors_homes,any
01,alt camp,125,2.0095693779904304,0.0200956937799043,3.971291866028708,0.039712918660287,2022
02,alt emporda,339,2.086160108548168,0.0208616010854816,3.6635006784260513,0.0366350067842605,2022
03,alt penedes,241,1.5510204081632653,0.0155102040816326,3.36734693877551,0.0336734693877551,2022
04,alt urgell,50,1.6797312430011198,0.0167973124300112,3.9193729003359454,0.0391937290033594,2022
05,alta ribagorca,13,3.589743589743589,0.0358974358974358,3.076923076923077,0.0307692307692307,2022
06,anoia,331,2.06810483152077,0.0206810483152077,3.833125334284186,0.0383312533428418,2022
07,bages,331,1.6621569385388482,0.0166215693853884,2.602757376626723,0.0260275737662672,2022
08,baix camp,526,1.929752909944864,0.0192975290994486,3.4408821727588323,0.0344088217275883,2022
09,baix ebre,180,2.003434459072696,0.0200343445907269,3.1482541499713794,0.0314825414997137,2022
10,baix emporda,302,1.9673282979097135,0.0196732829790971,3.337431933953978,0.0333743193395397,2022
11,baix llobregat,1736,1.5678427598085156,0.0156784275980851,2.8292089866011496,0.0282920898660114,2022
12,baix penedes,305,2.3768736616702357,0.0237687366167023,4.154175588865097,0.0415417558886509,2022
13,barcelones,4046,1.610762731610459,0.0161076273161045,2.488071238261187,0.0248807123826118,2022
14,bergueda,48,0.6798096532970768,0.0067980965329707,2.583276682528892,0.0258327668252889,2022
15,cerdanya,48,2.9601029601029603,0.0296010296010296,3.217503217503217,0.0321750321750321,2022
16,conca de barbera,26,1.0917030567685588,0.0109170305676855,1.7467248908296942,0.0174672489082969,2022
17,garraf,338,1.6774739216239076,0.016774739216239,3.087115872568368,0.0308711587256836,2022
18,garrigues,27,1.4588859416445623,0.0145888594164456,2.122015915119363,0.0212201591511936,2022
19,garrotxa,101,1.544050862851953,0.0154405086285195,3.0426884650317896,0.0304268846503178,2022
20,girones,443,1.826733756289652,0.0182673375628965,3.01903303434697,0.0301903303434697,2022
21,maresme,812,1.27037711544441,0.012703771154444,2.3364278416914672,0.0233642784169146,2022
22,montsia,170,2.1745696164300816,0.0217456961643008,2.9598308668076108,0.0295983086680761,2022
23,noguera,63,1.1194029850746268,0.0111940298507462,2.798507462686567,0.0279850746268656,2022
24,osona,329,2.0600089565606807,0.0206000895656068,2.851171816689058,0.0285117181668905,2022
25,pallars jussa,33,1.919385796545105,0.019193857965451,4.414587332053743,0.0441458733205374,2022
26,pallars sobira,3,0.3389830508474576,0.0033898305084745,0.6779661016949152,0.0067796610169491,2022
27,pla d'urgell,87,1.531862745098039,0.0153186274509803,3.799019607843137,0.0379901960784313,2022
28,pla de l'estany,41,0.8547008547008548,0.0085470085470085,1.8408941485864565,0.0184089414858645,2022
29,priorat,15,0.8174386920980926,0.0081743869209809,3.2697547683923704,0.0326975476839237,2022
30,ribera d'ebre,55,1.7334777898158178,0.0173347778981581,4.225352112676056,0.0422535211267605,2022
31,ripolles,20,0.6928406466512702,0.0069284064665127,1.6166281755196306,0.0161662817551963,2022
32,segarra,46,1.0880316518298714,0.0108803165182987,3.4619188921859543,0.0346191889218595,2022
33,segria,613,2.3944549464398235,0.0239445494643982,4.043268220961982,0.0404326822096198,2022
34,selva,337,1.4498644986449865,0.0144986449864498,3.116531165311653,0.0311653116531165,2022
35,solsones,27,1.9097222222222223,0.0190972222222222,2.7777777777777777,0.0277777777777777,2022
36,tarragones,717,2.3389510159080174,0.0233895101590801,3.307607497243661,0.0330760749724366,2022
37,terra alta,5,0.423728813559322,0.0042372881355932,0.6355932203389831,0.0063559322033898,2022
38,urgell,86,1.6880093131548313,0.0168800931315483,3.317811408614668,0.0331781140861466,2022
40,valles occidental,2006,1.5544816968867603,0.0155448169688676,2.734775915155662,0.0273477591515566,2022
41,valles oriental,701,1.143002286004572,0.0114300228600457,2.418084836169672,0.0241808483616967,2022
42,moianes,16,1.5332197614991483,0.0153321976149914,1.192504258943782,0.0119250425894378,2022
01,alt camp,137,2.6078234704112337,0.0260782347041123,4.262788365095286,0.0426278836509528,2021
02,alt emporda,316,1.97391005835908,0.0197391005835908,3.45005149330587,0.0345005149330587,2021
03,alt penedes,192,1.0293260827345116,0.0102932608273451,2.6995533113225867,0.0269955331132258,2021
04,alt urgell,44,1.172332942555686,0.0117233294255568,3.985932004689332,0.0398593200468933,2021
05,alta ribagorca,10,2.3391812865497075,0.023391812865497,3.508771929824561,0.0350877192982456,2021
06,anoia,309,1.82370820668693,0.0182370820668693,3.701054890041123,0.0370105489004112,2021
07,bages,270,1.276706618030224,0.0127670661803022,2.240750390828557,0.0224075039082855,2021
08,baix camp,466,1.820425794507868,0.0182042579450786,2.9723336418800783,0.0297233364188007,2021
09,baix ebre,159,1.6006739679865205,0.0160067396798652,2.864363942712721,0.0286436394271272,2021
10,baix emporda,187,1.289198606271777,0.0128919860627177,1.9686411149825784,0.0196864111498257,2021
11,baix llobregat,1672,1.426526229675836,0.0142652622967583,2.8479394621126906,0.0284793946211269,2021
12,baix penedes,289,2.210808396605628,0.0221080839660562,4.242965609647164,0.0424296560964716,2021
13,barcelones,3703,1.4124921696607189,0.0141249216966071,2.3288944571301555,0.0232889445713015,2021
14,bergueda,42,0.7633587786259541,0.0076335877862595,2.1512838306731434,0.0215128383067314,2021
15,cerdanya,44,1.4760147601476017,0.014760147601476,3.936039360393604,0.039360393603936,2021
16,conca de barbera,27,0.7734806629834254,0.0077348066298342,2.209944751381215,0.0220994475138121,2021
17,garraf,334,1.5935693132139332,0.0159356931321393,3.1166267099139757,0.0311662670991397,2021
18,garrigues,35,0.6578947368421052,0.006578947368421,3.947368421052632,0.0394736842105263,2021
19,garrotxa,97,1.145374449339207,0.011453744493392,3.127753303964758,0.0312775330396475,2021
20,girones,402,1.412582853417364,0.0141258285341736,2.9555579702271,0.029555579702271,2021
21,maresme,800,1.1339189673718175,0.0113391896737181,2.4515955539619934,0.0245159555396199,2021
22,montsia,123,1.5364916773367476,0.0153649167733674,2.4007682458386683,0.0240076824583866,2021
23,noguera,80,1.8794556059624108,0.0187945560596241,3.3052495139338958,0.0330524951393389,2021
24,osona,247,1.3299462044231918,0.0132994620442319,2.3610280932456664,0.0236102809324566,2021
25,pallars jussa,14,1.1363636363636365,0.0113636363636363,1.5151515151515151,0.0151515151515151,2021
26,pallars sobira,5,1.2903225806451613,0.0129032258064516,0.3225806451612903,0.0032258064516129,2021
27,pla d'urgell,105,2.5878003696857674,0.0258780036968576,3.8817005545286505,0.0388170055452865,2021
28,pla de l'estany,43,1.144781144781145,0.0114478114478114,1.7508417508417509,0.0175084175084175,2021
29,priorat,14,1.084010840108401,0.010840108401084,2.710027100271003,0.02710027100271,2021
30,ribera d'ebre,33,1.4705882352941175,0.0147058823529411,1.9957983193277309,0.0199579831932773,2021
31,ripolles,48,2.064220183486239,0.0206422018348623,3.440366972477064,0.0344036697247706,2021
32,segarra,52,0.9505703422053232,0.0095057034220532,3.9923954372623576,0.0399239543726235,2021
33,segria,536,1.968421052631579,0.0196842105263157,3.673684210526316,0.0367368421052631,2021
34,selva,308,1.4933478142818355,0.0149334781428183,2.688026065707304,0.026880260657073,2021
35,solsones,26,1.322314049586777,0.0132231404958677,2.975206611570248,0.0297520661157024,2021
36,tarragones,701,2.1333124951160425,0.0213331249511604,3.344533875126983,0.0334453387512698,2021
37,terra alta,5,0.1996007984031935,0.0019960079840319,0.7984031936127743,0.0079840319361277,2021
38,urgell,65,1.3317892298784018,0.013317892298784,2.4319629415170816,0.0243196294151708,2021
40,valles occidental,1906,1.4618685180793032,0.014618685180793,2.647750059294077,0.0264775005929407,2021
41,valles oriental,658,1.0353227771010962,0.0103532277710109,2.304100690215185,0.0230410069021518,2021
42,moianes,13,0.4838709677419355,0.0048387096774193,1.6129032258064515,0.0161290322580645,2021
