codi,comarca,total_homes,total_dones,total,any
09,baix ebre,1935,2362,4297,2018
10,baix emporda,2937,3490,6426,2018
11,baix llobregat,16789,23585,40373,2018
12,baix penedes,3212,4447,7658,2018
13,barcelones,49322,60517,109838,2018
14,bergueda,793,1130,1923,2018
15,cerdanya,197,259,455,2018
16,conca de barbera,360,439,799,2018
17,garraf,3418,4855,8272,2018
18,garrigues,351,400,751,2018
19,garrotxa,934,1120,2054,2018
20,girones,4312,5030,9342,2018
21,maresme,10675,14414,25089,2018
22,montsia,1652,2207,3859,2018
23,noguera,819,1075,1894,2018
24,osona,3138,4499,7637,2018
25,pallars jussa,263,279,542,2018
26,pallars sobira,103,115,217,2018
27,pla d'urgell,642,876,1518,2018
28,pla de l'estany,496,593,1089,2018
29,priorat,175,229,403,2018
30,ribera d'ebre,527,613,1139,2018
31,ripolles,410,520,929,2018
32,segarra,353,443,795,2018
33,segria,5059,6341,11400,2018
34,selva,3873,5072,8945,2018
35,solsones,212,244,456,2018
36,tarragones,6220,8193,14412,2018
37,terra alta,166,208,374,2018
38,urgell,738,1046,1783,2018
39,aran,146,155,300,2018
40,valles occidental,21024,29561,50585,2018
41,valles oriental,8957,12830,21786,2018
42,moianes,198,296,493,2018
