codi,comarca,analfabetisme_dones,analfabetisme_homes,analfabetisme_total,doctorat universitari_dones,doctorat universitari_homes,doctorat universitari_total,educacio primaria_dones,educacio primaria_homes,educacio primaria_total,educacio primaria incompleta_dones,educacio primaria incompleta_homes,educacio primaria incompleta_total,educacio secundaria_dones,educacio secundaria_homes,educacio secundaria_total,formacio professional_dones,formacio professional_homes,formacio professional_total,graus universitaris_dones,graus universitaris_homes,graus universitaris_total,masters universitaris_dones,masters universitaris_homes,masters universitaris_total,any
39,aran,,,15,,,40,,,705,,,140,,,5100,,,865,,,1715,,,145,2019
40,valles occidental,,,3335,,,7870,,,86750,,,22925,,,409375,,,73765,,,147370,,,16410,2019
41,valles oriental,,,990,,,2040,,,39225,,,11380,,,190945,,,34590,,,57120,,,5690,2019
42,moianes,,,5,,,85,,,1460,,,180,,,6330,,,1005,,,2250,,,225,2019
01,alt camp,,,120,,,185,,,4530,,,1540,,,21440,,,3785,,,5145,,,565,2018
02,alt emporda,,,385,,,575,,,15960,,,6630,,,70475,,,6590,,,16015,,,1505,2018
03,alt penedes,,,220,,,540,,,12485,,,2365,,,49395,,,8355,,,14545,,,1430,2018
04,alt urgell,,,50,,,110,,,2120,,,805,,,9820,,,1415,,,2840,,,360,2018
05,alta ribagorca,,,10,,,25,,,405,,,155,,,1715,,,275,,,700,,,65,2018
06,anoia,,,370,,,410,,,12360,,,3500,,,57705,,,9535,,,13745,,,1360,2018
07,bages,,,400,,,780,,,20380,,,4875,,,82655,,,12915,,,24060,,,2410,2018
08,baix camp,,,1280,,,1000,,,17930,,,6765,,,88395,,,13895,,,24675,,,3125,2018
09,baix ebre,,,185,,,260,,,9885,,,3460,,,38650,,,4860,,,8380,,,1200,2018
10,baix emporda,,,630,,,635,,,14510,,,4105,,,64670,,,7630,,,18440,,,1765,2018
11,baix llobregat,,,2950,,,4510,,,80570,,,25060,,,364585,,,73240,,,120470,,,11150,2018
12,baix penedes,,,200,,,390,,,11160,,,2435,,,51465,,,7685,,,11575,,,940,2018
13,barcelones,,,7210,,,30685,,,224005,,,82505,,,901710,,,157745,,,493650,,,58285,2018
14,bergueda,,,85,,,130,,,5200,,,750,,,18655,,,3390,,,5245,,,625,2018
15,cerdanya,,,15,,,110,,,1580,,,325,,,8950,,,1170,,,2970,,,310,2018
16,conca de barbera,,,20,,,70,,,2365,,,610,,,9845,,,1600,,,2460,,,290,2018
17,garraf,,,450,,,1165,,,14150,,,2925,,,66175,,,10275,,,28655,,,2375,2018
18,garrigues,,,25,,,60,,,2940,,,595,,,9185,,,1415,,,2110,,,235,2018
19,garrotxa,,,95,,,275,,,7050,,,1985,,,26100,,,3965,,,7980,,,815,2018
20,girones,,,775,,,1820,,,18070,,,5920,,,83220,,,11175,,,31140,,,4290,2018
21,maresme,,,1675,,,3035,,,40415,,,14875,,,200260,,,32885,,,75330,,,7210,2018
22,montsia,,,295,,,185,,,8565,,,2380,,,33435,,,5055,,,6710,,,845,2018
23,noguera,,,235,,,115,,,4865,,,1470,,,18830,,,2580,,,4545,,,505,2018
24,osona,,,360,,,820,,,17885,,,4440,,,73740,,,10645,,,22100,,,2475,2018
25,pallars jussa,,,15,,,65,,,1855,,,520,,,5680,,,1265,,,1955,,,235,2018
26,pallars sobira,,,5,,,45,,,735,,,145,,,3045,,,715,,,1250,,,135,2018
27,pla d'urgell,,,135,,,110,,,4935,,,1145,,,17640,,,2860,,,4020,,,430,2018
28,pla de l'estany,,,180,,,255,,,3135,,,1055,,,14055,,,2205,,,4735,,,800,2018
29,priorat,,,15,,,55,,,1095,,,185,,,4665,,,785,,,1275,,,115,2018
30,ribera d'ebre,,,45,,,65,,,3245,,,710,,,10590,,,1980,,,2460,,,290,2018
31,ripolles,,,80,,,115,,,3215,,,1010,,,11745,,,1970,,,3270,,,330,2018
32,segarra,,,25,,,65,,,2845,,,1025,,,11220,,,1320,,,2470,,,245,2018
33,segria,,,780,,,1500,,,21030,,,7730,,,96155,,,14445,,,30045,,,3805,2018
34,selva,,,685,,,625,,,17520,,,5505,,,88190,,,10190,,,18385,,,1660,2018
35,solsones,,,35,,,65,,,1425,,,730,,,5920,,,1215,,,1765,,,205,2018
36,tarragones,,,1015,,,2160,,,24250,,,6755,,,115460,,,20815,,,36830,,,5185,2018
37,terra alta,,,30,,,20,,,2075,,,540,,,5740,,,575,,,1025,,,155,2018
38,urgell,,,80,,,125,,,4750,,,920,,,17235,,,2540,,,4365,,,455,2018
39,aran,,,15,,,35,,,710,,,150,,,5055,,,840,,,1650,,,140,2018
40,valles occidental,,,3525,,,7680,,,87375,,,23120,,,403300,,,72000,,,146125,,,15850,2018
41,valles oriental,,,1035,,,1970,,,39580,,,11435,,,188510,,,33715,,,56045,,,5380,2018
42,moianes,,,5,,,90,,,1530,,,170,,,6160,,,990,,,2170,,,215,2018
