codi,comarca,16-24,25+,total,any
12,baix penedes,615,7044,7658,2018
13,barcelones,6769,103069,109838,2018
14,bergueda,128,1795,1923,2018
15,cerdanya,24,431,455,2018
16,conca de barbera,49,750,799,2018
17,garraf,503,7770,8272,2018
18,garrigues,51,701,751,2018
19,garrotxa,153,1901,2054,2018
20,girones,761,8581,9342,2018
21,maresme,1395,23694,25089,2018
22,montsia,269,3590,3859,2018
23,noguera,168,1726,1894,2018
24,osona,539,7099,7637,2018
25,pallars jussa,49,493,542,2018
26,pallars sobira,16,202,217,2018
27,pla d'urgell,103,1416,1518,2018
28,pla de l'estany,89,1000,1089,2018
29,priorat,17,386,403,2018
30,ribera d'ebre,79,1060,1139,2018
31,ripolles,52,878,930,2018
32,segarra,57,738,795,2018
33,segria,839,10561,11400,2018
34,selva,719,8226,8945,2018
35,solsones,41,415,456,2018
36,tarragones,1239,13174,14413,2018
37,terra alta,24,351,374,2018
38,urgell,117,1667,1783,2018
39,aran,21,280,301,2018
40,valles occidental,3609,46977,50585,2018
41,valles oriental,1489,20298,21786,2018
42,moianes,31,463,494,2018
