codi,comarca,rfdb_(miles_de_euros),rfdb_por_habitante_(euros),rfdb_por_habitante_(index_catalunya=100_por_habitante),any
26,pallars sobira,103561,15016,85.9,2018
27,pla d'urgell,528408,14285,81.7,2018
28,pla de l'estany,526458,16479,94.3,2018
29,priorat,132088,14357,82.1,2018
30,ribera d'ebre,319529,14748,84.4,2018
31,ripolles,422440,16968,97.1,2018
32,segarra,323436,14363,82.2,2018
33,segria,3206824,15619,89.3,2018
34,selva,2438731,14570,83.3,2018
35,solsones,201647,14851,84.9,2018
36,tarragones,3881486,15191,86.9,2018
37,terra alta,157641,13864,79.3,2018
38,urgell,515846,14233,81.4,2018
39,aran,156314,15759,90.1,2018
40,valles occidental,16292531,17714,101.3,2018
41,valles oriental,7002267,17207,98.4,2018
42,moianes,224543,16749,95.8,2018
