comarca;poblacio_total_16_a_24_anys;poblacio_homes_16_a_24_anys;poblacio_dones_16_a_24_anys
Alt Camp;4063;2118;1945
Alt Empordà;12663;6535;6128
Alt Penedès;9605;4865;4740
Alt Urgell;1720;910;810
Alta Ribagorça;292;141;151
Anoia;10846;5643;5203
Aran;853;448;405
Bages;15437;7968;7469
Baix Camp;17357;8778;8579
Baix Ebre;6782;3541;3241
Baix Empordà;11731;6039;5692
Baix Llobregat;74056;38250;35806
Baix Penedès;9127;4705;4422
Barcelonès;190207;97019;93188
Berguedà;3057;1608;1449
Cerdanya;1656;884;772
Conca de Barberà;1691;916;775
Garraf;13177;6753;6424
Garrigues;1512;835;677
Garrotxa;5089;2702;2387
Gironès;19187;10014;9173
Maresme;40344;21123;19221
Moianès;1258;660;598
Montsià;5814;2997;2817
Noguera;3340;1792;1548
Osona;15115;7926;7189
Pallars Jussà;1041;549;492
Pallars Sobirà;547;282;265
Pla d'Urgell;3224;1686;1538
Pla de l'Estany;3011;1564;1447
Priorat;708;395;313
Ribera d'Ebre;1831;911;920
Ripollès;1794;930;864
Segarra;2280;1244;1036
Segrià;18833;9858;8975
Selva;15797;8494;7303
Solsonès;1209;626;583
Tarragonès;23271;11958;11313
Terra Alta;863;440;423
Urgell;3248;1706;1542
Vallès Occidental;87084;44816;42268
Vallès Oriental;38327;20047;18280
Catalunya;679025;350661;328364
Metropolità;430363;221435;208928
Comarques Gironines;69268;36274;32994
Camp de Tarragona;47080;24157;22923
Terres de l'Ebre;15292;7891;7401
Ponent;32431;17119;15312
Comarques Centrals;36148;18816;17332
Alt Pirineu i Aran;6107;3215;2892
Penedès;42332;21755;20577
Barcelona;498529;256686;241843
Girona;70654;37005;33649
Lleida;38346;20220;18126
Tarragona;71498;36752;34746
