Renta familiar disponible bruta (RFBD). Por habitante y Indice Cataluña. Comarcas y Aran, y ámbitos
2019
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
Nota: La nueva comarca de El Moianès se creó el 1 de mayo de 2015 (Ley 4/2015, de 23 de abril, de creación de la comarca de El Moianès) a partir de la agregación de cinco municipios de la comarca de El Bages, uno de la comarca de Osona y cuatro de la comarca de El Vallès Oriental.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201900&lang=es
;RFDB (miles de euros);RFDB por habitante (euros);RFDB por habitante (Índex Catalunya=100 por habitante)
Alt Camp;720501;16266;88,1
Alt Empordà;2034758;14802;80,2
Alt Penedès;1839020;17023;92,2
Alt Urgell;293967;14569;78,9
Alta Ribagorça;61538;16124;87,3
Anoia;1964683;16374;88,7
Aran;169499;17088;92,5
Bages;3093006;17594;95,3
Baix Camp;3068672;16056;87,0
Baix Ebre;1121858;14535;78,7
Baix Empordà;2037282;15458;83,7
Baix Llobregat;15583645;19109;103,5
Baix Penedès;1583447;15340;83,1
Barcelonès;46669022;20722;112,2
Berguedà;682185;17435;94,4
Cerdanya;287025;16055;86,9
Conca de Barberà;327256;16418;88,9
Garraf;2771130;18833;102,0
Garrigues;271140;14368;77,8
Garrotxa;1001606;17878;96,8
Gironès;3353292;17907;97,0
Maresme;8293840;18660;101,1
Moianès;235283;17550;95,0
Montsià;907138;13323;72,2
Noguera;550622;14408;78,0
Osona;2834271;17975;97,4
Pallars Jussà;195918;15160;82,1
Pallars Sobirà;107291;15557;84,3
Pla d'Urgell;557224;15064;81,6
Pla de l'Estany;549742;17208;93,2
Priorat;137663;14963;81,0
Ribera d'Ebre;328222;15149;82,0
Ripollès;440258;17684;95,8
Segarra;336356;14936;80,9
Segrià;3327147;16205;87,8
Selva;2555335;15267;82,7
Solsonès;209326;15417;83,5
Tarragonès;4116329;16110;87,2
Terra Alta;166239;14620;79,2
Urgell;545075;15039;81,5
Vallès Occidental;17275115;18783;101,7
Vallès Oriental;7387737;18154;98,3
Catalunya;139990665;18464;100,0
Metropolità;95280674;19675;106,6
Comarques Gironines;11972273;16250;88,0
Camp de Tarragona;8370421;16095;87,2
Terres de l'Ebre;2523458;14152;76,6
Ponent;5587564;15601;84,5
Comarques Centrals;6982756;17645;95,6
Alt Pirineu i Aran;1115238;15574;84,3
Penedès;8158281;17054;92,4

