Renta familiar disponible bruta (RFBD). Por principales componentes. Comarcas y Aran, y ámbitos
2019
Unidades: Milers d'euros.
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15918&t=201900&lang=es
;Recursos. Remuneración asalariados;Recursos. Excedente bruto explotación;Recursos. Prestaciones sociales;Usos. Cotizaciones sociales;Usos. Impuestos
Alt Camp;565929;186515;206768;171532;91718
Alt Empordà;1551611;680144;484650;486006;309468
Alt Penedès;1527182;496000;510175;452437;259924
Alt Urgell;187736;95819;85046;60167;34504
Alta Ribagorça;41587;24789;15395;13962;7562
Anoia;1595318;513380;563441;474846;260140
Aran;130544;62707;33254;41681;28082
Bages;2374017;722195;999670;698795;420799
Baix Camp;2550403;815748;819708;763414;449535
Baix Ebre;807770;336568;343344;255350;136912
Baix Empordà;1537835;699485;508668;483750;321417
Baix Llobregat;13215385;4140344;3937025;3788186;2455467
Baix Penedès;1218963;467370;477566;371454;226052
Barcelonès;35388626;13517962;12605619;10368130;8158603
Berguedà;432909;185872;264394;135932;79778
Cerdanya;198847;127937;57025;65938;46096
Conca de Barberà;250194;91534;94177;76564;41078
Garraf;2290249;865775;676443;674668;491491
Garrigues;180241;86328;87005;61585;30158
Garrotxa;777429;246808;282094;230973;138919
Gironès;2806977;873264;800914;820877;527817
Maresme;6492817;2563199;2051608;1942642;1343442
Moianès;182243;76635;59318;56195;34980
Montsià;640065;285744;277237;208776;99589
Noguera;394668;169653;159523;129782;64966
Osona;2297712;740120;758728;682267;421446
Pallars Jussà;127835;61865;67273;42403;23651
Pallars Sobirà;72881;44903;26684;25368;13470
Pla d'Urgell;447367;149388;143002;138265;72222
Pla de l'Estany;457728;155295;129097;135280;81352
Priorat;87931;50824;40735;30027;14852
Ribera d'Ebre;232851;94251;112920;73132;43851
Ripollès;302830;124709;153537;93192;58651
Segarra;283221;95622;85823;87583;54745
Segrià;2759726;848325;908334;831517;468623
Selva;2011429;735813;684028;618095;340330
Solsonès;146122;67125;60184;48012;24580
Tarragonès;3484632;1067157;1125331;1028428;612340
Terra Alta;89398;61780;55759;33855;13949
Urgell;416904;150340;154632;130594;68938
Vallès Occidental;14574211;4646586;4369391;4221572;2765045
Vallès Oriental;6124482;2074942;1863747;1800468;1109868
Catalunya;111256805;39500820;37139273;32853702;22246407
Metropolità;75849426;26968913;24843332;22137899;15844143
Comarques Gironines;9445838;3515518;3042989;2868172;1777953
Camp de Tarragona;6939089;2211778;2286719;2069966;1209523
Terres de l'Ebre;1770083;778343;789259;571113;294302
Ponent;4482127;1499656;1538319;1379325;759651
Comarques Centrals;5379099;1766068;2126353;1604302;969864
Alt Pirineu i Aran;759430;418019;284677;249519;153364
Penedès;6631712;2342526;2227626;1973405;1237606

