Renta familiar disponible bruta (RFBD). Por principales componentes. Comarcas y Aran, y ámbitos
2020
Unidades: Milers d'euros.
Fuente: Idescat. Estadística Renta familiar disponible bruta. Comarcas y municipios.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15918&t=202000&lang=es
;Recursos. Remuneración asalariados;Recursos. Excedente bruto explotación;Recursos. Prestaciones sociales;Usos. Cotizaciones sociales;Usos. Impuestos
Alt Camp;549547;158967;237283;170612;90319
Alt Empordà;1451220;590288;603165;481126;297021
Alt Penedès;1514625;432157;585561;461966;260083
Alt Urgell;183086;80550;96098;61099;33868
Alta Ribagorça;41550;19002;18379;14397;7793
Anoia;1554453;443514;656201;481375;259235
Aran;122700;51540;44508;41609;26769
Bages;2301889;621105;1117425;703503;414278
Baix Camp;2441995;710356;964766;756279;445029
Baix Ebre;797438;289981;388141;256548;139233
Baix Empordà;1455218;618889;614834;479768;316470
Baix Llobregat;12709388;3632944;4603493;3808997;2391961
Baix Penedès;1198748;412090;560685;379216;202448
Barcelonès;33564787;11761953;14345976;10291564;7970199
Berguedà;427299;157064;286900;138351;77014
Cerdanya;193338;113103;71770;68313;42824
Conca de Barberà;242764;79384;108299;77287;40728
Garraf;2215344;760933;807715;682075;474091
Garrigues;185039;73627;94400;63159;30893
Garrotxa;770887;213297;315298;234984;136038
Gironès;2767388;769129;932851;834856;566537
Maresme;6293385;2240791;2415302;1958559;1315144
Moianès;183386;65576;69498;58324;37226
Montsià;634112;243781;316588;209524;103189
Noguera;394222;144799;177526;131881;67930
Osona;2301676;638260;860881;700696;397180
Pallars Jussà;130583;51491;73777;43831;24100
Pallars Sobirà;69803;36660;32475;25553;13285
Pla d'Urgell;452950;128722;160676;141551;76224
Pla de l'Estany;458547;139459;150763;139421;82977
Priorat;88111;43138;45298;30655;14631
Ribera d'Ebre;244428;79027;121593;76564;45603
Ripollès;297873;106819;169885;95007;57834
Segarra;289077;78156;97334;90436;50872
Segrià;2740200;724708;1032661;840307;492989
Selva;1861123;647321;843502;607315;330621
Solsonès;144582;56091;68624;48980;24721
Tarragonès;3332131;938505;1319901;1020089;658682
Terra Alta;89316;51820;60660;33874;13578
Urgell;422549;125557;175172;134269;70506
Vallès Occidental;14287299;4078778;5055547;4282462;2718617
Vallès Oriental;6007706;1811038;2174667;1827152;1078269
Catalunya;107411762;34420369;42876080;32983536;21897009
Metropolità;72917190;23547961;28613909;22186342;15486168
Comarques Gironines;9062256;3085202;3630298;2872478;1787499
Camp de Tarragona;6654548;1930350;2675547;2054923;1249390
Terres de l'Ebre;1765294;664609;886983;576511;301602
Ponent;4484037;1275568;1737770;1401604;789414
Comarques Centrals;5304207;1515639;2384405;1632244;938440
Alt Pirineu i Aran;741060;352347;337006;254803;148639
Penedès;6483170;2048694;2610162;2004632;1195857

