Població a 1 de gener. Per nacionalitat. Comarques i Aran, àmbits i províncies;;;;;;;;
2020;;;;;;;;
Unitats: Persones.;;;;;;;;
Font: Idescat, a partir del Padró continu de l'INE.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15236&t=202000;;;;;;;;
comarca;Espanyola;Resta UE;Resta d'Europa;Àfrica;Amèrica del Nord i Central;Amèrica del Sud;Àsia i Oceania;Total
Alt Camp;38847;1210;482;2978;226;666;286;44695
Alt Empordà;107462;11632;2100;13631;2441;4235;1123;142624
Alt Penedès;97269;1906;652;6362;681;1935;801;109606
Alt Urgell;17692;1004;217;400;173;623;122;20231
Alta Ribagorça;3357;169;55;132;28;77;7;3825
Anoia;111579;1957;579;5765;623;1552;969;123024
Aran;8481;954;74;232;89;307;38;10175
Bages;157832;4001;1293;11091;1524;3087;1747;180575
Baix Camp;161591;9501;2366;12509;1243;5221;1696;194127
Baix Ebre;64683;4517;993;4771;480;950;1617;78011
Baix Empordà;108368;7398;3218;11290;2369;2194;968;135805
Baix Llobregat;743134;21812;5600;23196;7270;22132;11509;834653
Baix Penedès;91010;4435;1237;6149;887;3122;963;107803
Barcelonès;1827965;117616;31972;44766;55597;117439;119265;2314620
Berguedà;36035;955;191;1467;325;747;260;39980
Cerdanya;15649;776;282;371;219;1142;86;18525
Conca de Barberà;17601;766;251;929;70;161;169;19947
Garraf;130633;9998;1416;3587;1401;4237;1529;152801
Garrigues;16292;1257;70;1042;54;113;45;18873
Garrotxa;48777;1883;691;2514;1228;860;2667;58620
Gironès;155500;7029;1893;16988;8401;4191;3102;197104
Maresme;401357;11957;3709;22549;3549;9220;6285;458626
Moianès;12638;286;70;330;55;304;236;13919
Montsià;56512;5822;776;2828;286;1109;930;68263
Noguera;32071;2796;264;3115;92;587;207;39132
Osona;136830;3835;833;15223;984;2577;3420;163702
Pallars Jussà;11367;637;93;590;129;360;51;13227
Pallars Sobirà;6290;402;10;78;34;101;15;6930
Pla d'Urgell;29702;2686;253;3412;68;442;174;36737
Pla de l'Estany;27700;1012;158;2376;558;505;328;32637
Priorat;8092;502;41;373;41;102;9;9160
Ribera d'Ebre;18357;1641;181;1268;61;148;214;21870
Ripollès;22666;428;104;1095;322;478;160;25253
Segarra;16836;2248;1400;2351;91;281;111;23318
Segrià;171166;12744;1653;18382;1190;4209;2496;211840
Selva;138437;10735;5614;9333;2360;4017;4142;174638
Solsonès;12034;604;65;603;47;127;33;13513
Tarragonès;213304;10681;3804;17594;1976;9097;5010;261466
Terra Alta;9982;1066;31;89;76;58;128;11430
Urgell;30037;2408;660;3224;156;442;189;37116
Vallès Occidental;829243;19280;4763;33983;11018;27271;11950;937508
Vallès Oriental;375482;7213;2077;15303;2691;8380;3424;414570
Catalunya;6519860;309759;82191;324269;111113;244806;188481;7780479
Metropolità;4180878;177933;48145;139856;80136;184531;152496;4963975
Comarques Gironines;608910;40117;13778;57227;17679;16480;12490;766681
Camp de Tarragona;439435;22660;6944;34383;3556;15247;7170;529395
Terres de l'Ebre;149534;13046;1981;8956;903;2265;2889;179574
Ponent;296104;24139;4300;31526;1651;6074;3222;367016
Comarques Centrals;356252;9817;2477;29205;2930;6785;5646;413112
Alt Pirineu i Aran;62836;3942;731;1803;672;2610;319;72913
Penedès;425911;18105;3835;21313;3586;10814;4249;487813
Barcelona;4859844;200812;53156;183609;85723;198872;161386;5743402
Girona;621353;40788;14050;57591;17884;17559;12563;781788
Lleida;358684;28018;4823;33581;2160;7741;3510;438517
Tarragona;679979;40141;10162;49488;5346;20634;11022;816772
