Curs;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Naturalesa;Titularitat;Estudi;Nivell;Sexe;Concert;Resultat de l'avaluació;Nombre alumnes
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;;Alumnes avaluats;4
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;;Alumnes avaluats;61
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;;Alumnes avaluats;65
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;;No promocionen;4
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;;Promocionen al mes de juny;65
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;;Promocionen al mes de setembre;19
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;;Promocionen amb pendents;42
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;;Alumnes avaluats;2
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;;Alumnes avaluats;1
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;;Alumnes avaluats;51
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;;Alumnes avaluats;83
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;;No promocionen;2
