codi,comarca,total_homes,total_dones,total
01,alt camp,1287,1637,2923
02,alt emporda,3764,4660,8424
03,alt penedes,2514,3373,5886
04,alt urgell,412,533,945
05,alta ribagorca,68,75,143
06,anoia,3343,4848,8190
07,bages,4782,6002,10783
08,baix camp,5595,7638,13233
09,baix ebre,2173,2537,4710
10,baix emporda,3156,3792,6947
11,baix llobregat,18735,25123,43857
12,baix penedes,3705,4983,8688
13,barcelones,56658,67637,124295
14,bergueda,879,1146,2024
15,cerdanya,260,368,628
16,conca de barbera,424,487,910
17,garraf,4013,5295,9308
18,garrigues,391,421,811
19,garrotxa,1086,1278,2363
20,girones,5034,5729,10762
21,maresme,11665,15284,26949
22,montsia,1820,2432,4252
23,noguera,939,1157,2095
24,osona,3609,4559,8167
25,pallars jussa,311,347,657
26,pallars sobira,138,162,300
27,pla d'urgell,776,975,1750
28,pla de l'estany,559,647,1205
29,priorat,198,229,427
30,ribera d'ebre,556,639,1194
31,ripolles,465,559,1024
32,segarra,380,522,901
33,segria,5643,7106,12749
34,selva,4745,6110,10855
35,solsones,249,309,557
36,tarragones,6990,9595,16585
37,terra alta,201,231,431
38,urgell,791,1103,1893
39,aran,206,193,398
40,valles occidental,23183,31603,54786
41,valles oriental,9798,13768,23565
42,moianes,249,364,612
