codi,comarca,dones,homes,total
01,alt camp,22207,22871,45078
02,alt emporda,71368,72029,143397
03,alt penedes,55158,55040,110198
04,alt urgell,10207,10237,20444
05,alta ribagorca,1927,2033,3960
06,anoia,61580,62550,124130
07,bages,91096,89591,180687
08,baix camp,98999,96097,195096
09,baix ebre,39037,39930,78967
10,baix emporda,68445,68588,137033
11,baix llobregat,423448,408926,832374
12,baix penedes,54821,55336,110157
13,barcelones,1181328,1088594,2269922
14,bergueda,19989,19997,39986
15,cerdanya,9424,9824,19248
16,conca de barbera,9825,10334,20159
17,garraf,77962,76245,154207
18,garrigues,9045,9987,19032
19,garrotxa,29285,29729,59014
20,girones,98979,97299,196278
21,maresme,232591,227596,460187
22,montsia,33933,34590,68523
23,noguera,18748,20395,39143
24,osona,81411,82456,163867
25,pallars jussa,6422,6690,13112
26,pallars sobira,3459,3657,7116
27,pla d'urgell,18096,19104,37200
28,pla de l'estany,16438,16379,32817
29,priorat,4430,4853,9283
30,ribera d'ebre,10763,11136,21899
31,ripolles,12723,12725,25448
32,segarra,11174,12281,23455
33,segria,104205,106498,210703
34,selva,86595,88740,175335
35,solsones,6752,6896,13648
36,tarragones,132277,130591,262868
37,terra alta,5590,5815,11405
38,urgell,18344,18895,37239
39,aran,5063,5298,10361
40,valles occidental,476796,460590,937386
41,valles oriental,208227,207088,415315
42,moianes,6906,7313,14219
