codi,comarca,"poblacio_pensionista_de_jubilacio,_prejubilacio",poblacio_pensionista_d'invalidesa,poblacio_estudiant,poblacio_amb_una_altra_situacio_d'inactivitat,total_poblacio_inactiva,total_poblacio,pct_atur,ratio_atur
01,alt camp,7412,1109,1994,5576,16091,45078,12.37,0.12369670349172546
02,alt emporda,20002,2157,5826,27485,55470,143397,19.17,0.19167067651345565
03,alt penedes,15768,2313,5149,14165,37395,110198,12.85,0.12854135283761955
04,alt urgell,3445,491,853,4243,9032,20444,20.75,0.20754255527294072
05,alta ribagorca,583,101,171,580,1435,3960,14.65,0.14646464646464646
06,anoia,19928,3410,5593,14111,43042,124130,11.37,0.1136792072826875
07,bages,33142,5819,7676,20637,67274,180687,11.42,0.11421408291686728
08,baix camp,27415,4388,9723,29913,71439,195096,15.33,0.15332451716078238
09,baix ebre,13574,1933,3561,12215,31283,78967,15.47,0.1546848683627338
10,baix emporda,21298,2111,5740,25739,54888,137033,18.78,0.1878306685250998
11,baix llobregat,115387,18336,39116,113487,286326,832374,13.63,0.13634135616922202
12,baix penedes,16777,3172,4478,17568,41995,110157,15.95,0.15948146736022223
13,barcelones,368308,43051,98974,383716,894049,2269922,16.9,0.1690436940123934
14,bergueda,9154,1689,1441,4091,16375,39986,10.23,0.10231080878307408
15,cerdanya,2596,271,813,3318,6998,19248,17.24,0.17238154613466333
16,conca de barbera,3833,401,905,2371,7510,20159,11.76,0.11761496105957636
17,garraf,22043,3078,7091,24820,57032,154207,16.1,0.16095248594421785
18,garrigues,3881,443,760,2456,7540,19032,12.9,0.12904581757040773
19,garrotxa,11311,940,2270,6552,21073,59014,11.1,0.11102450266038567
20,girones,25945,3044,9203,26666,64858,196278,13.59,0.13585832339844506
21,maresme,71498,9141,22312,64215,167166,460187,13.95,0.1395410995964684
22,montsia,11177,1734,3124,10736,26771,68523,15.67,0.15667732002393356
23,noguera,6420,840,1543,5503,14306,39143,14.06,0.14058707814934981
24,osona,26980,3745,6692,17605,55022,163867,10.74,0.10743468788712797
25,pallars jussa,2815,320,528,1637,5300,13112,12.48,0.12484746796827334
26,pallars sobira,1222,165,310,765,2462,7116,10.75,0.10750421585160203
27,pla d'urgell,5278,847,1623,5090,12838,37200,13.68,0.13682795698924732
28,pla de l'estany,5140,436,1485,3506,10567,32817,10.68,0.10683487216991193
29,priorat,2008,170,369,1193,3740,9283,12.85,0.12851448885058708
30,ribera d'ebre,4210,496,952,3710,9368,21899,16.94,0.1694141284990182
31,ripolles,6130,646,872,2398,10046,25448,9.42,0.09423137378182961
32,segarra,3324,591,1052,2718,7685,23455,11.59,0.11588147516520998
33,segria,30309,5022,9500,29828,74659,210703,14.16,0.1415641922516528
34,selva,25493,3436,7366,33322,69617,175335,19.0,0.1900476231214532
35,solsones,2274,389,605,1602,4870,13648,11.74,0.11737983587338804
36,tarragones,35132,5878,12797,44965,98772,262868,17.11,0.171055434666829
37,terra alta,2765,204,501,1420,4890,11405,12.45,0.12450679526523455
38,urgell,5850,778,1727,4707,13062,37239,12.64,0.12639974220575204
39,aran,1186,180,436,1616,3418,10361,15.6,0.1559695010134157
40,valles occidental,134506,23300,46379,111502,315687,937386,11.89,0.11894993097827362
41,valles oriental,58310,9354,19704,51593,138961,415315,12.42,0.12422618975958008
42,moianes,2474,324,620,1509,4927,14219,10.61,0.10612560658274141
