codi,comarca,16-24,25+,total
01,alt camp,228,2696,2923
02,alt emporda,671,7752,8423
03,alt penedes,330,5557,5886
04,alt urgell,71,874,945
05,alta ribagorca,11,132,143
06,anoia,627,7564,8190
07,bages,709,10074,10783
08,baix camp,1071,12162,13233
09,baix ebre,388,4322,4710
10,baix emporda,474,6474,6947
11,baix llobregat,2950,40908,43857
12,baix penedes,688,8000,8688
13,barcelones,7291,117005,124295
14,bergueda,121,1904,2024
15,cerdanya,43,585,628
16,conca de barbera,63,848,910
17,garraf,524,8784,9308
18,garrigues,60,751,811
19,garrotxa,156,2208,2363
20,girones,982,9781,10762
21,maresme,1584,25365,26949
22,montsia,375,3877,4252
23,noguera,188,1907,2095
24,osona,588,7580,8167
25,pallars jussa,50,608,657
26,pallars sobira,22,278,300
27,pla d'urgell,115,1635,1750
28,pla de l'estany,98,1107,1205
29,priorat,25,402,427
30,ribera d'ebre,84,1111,1194
31,ripolles,71,954,1024
32,segarra,61,841,901
33,segria,1050,11699,12749
34,selva,839,10016,10855
35,solsones,38,520,557
36,tarragones,1367,15219,16585
37,terra alta,25,407,431
38,urgell,128,1766,1893
39,aran,38,361,398
40,valles occidental,3681,51106,54786
41,valles oriental,1590,21976,23565
42,moianes,39,573,612
