codi,comarca,poblacio_estudiant,total_poblacio,pct_estudiants,ratio_estudiants
01,alt camp,1994,45078,4.42,0.044234438085096944
02,alt emporda,5826,143397,4.06,0.04062846503064918
03,alt penedes,5149,110198,4.67,0.04672498593440897
04,alt urgell,853,20444,4.17,0.04172373312463314
05,alta ribagorca,171,3960,4.32,0.04318181818181818
06,anoia,5593,124130,4.51,0.045057600902279865
07,bages,7676,180687,4.25,0.04248230365217199
08,baix camp,9723,195096,4.98,0.04983700332144175
09,baix ebre,3561,78967,4.51,0.045094786429774464
10,baix emporda,5740,137033,4.19,0.0418877204760897
11,baix llobregat,39116,832374,4.7,0.04699329868544669
12,baix penedes,4478,110157,4.07,0.040651070744482876
13,barcelones,98974,2269922,4.36,0.043602379288803755
14,bergueda,1441,39986,3.6,0.036037613164607615
15,cerdanya,813,19248,4.22,0.04223815461346633
16,conca de barbera,905,20159,4.49,0.044893099856143655
17,garraf,7091,154207,4.6,0.04598364535980857
18,garrigues,760,19032,3.99,0.039932744850777635
19,garrotxa,2270,59014,3.85,0.03846544887653777
20,girones,9203,196278,4.69,0.046887577823291456
21,maresme,22312,460187,4.85,0.04848463776682088
22,montsia,3124,68523,4.56,0.04559053164630854
23,noguera,1543,39143,3.94,0.03941956416217459
24,osona,6692,163867,4.08,0.040837996668029564
25,pallars jussa,528,13112,4.03,0.040268456375838924
26,pallars sobira,310,7116,4.36,0.04356379988757729
27,pla d'urgell,1623,37200,4.36,0.04362903225806452
28,pla de l'estany,1485,32817,4.53,0.045250937014352316
29,priorat,369,9283,3.98,0.03975008079284714
30,ribera d'ebre,952,21899,4.35,0.04347230467144619
31,ripolles,872,25448,3.43,0.034265954102483495
32,segarra,1052,23455,4.49,0.04485184395651247
33,segria,9500,210703,4.51,0.04508716060046606
34,selva,7366,175335,4.2,0.042011007499928706
35,solsones,605,13648,4.43,0.04432883939038687
36,tarragones,12797,262868,4.87,0.04868222834274236
37,terra alta,501,11405,4.39,0.043928101709776415
38,urgell,1727,37239,4.64,0.04637611106635516
39,aran,436,10361,4.21,0.04208088022391661
40,valles occidental,46379,937386,4.95,0.04947694973042055
41,valles oriental,19704,415315,4.74,0.0474435067358511
42,moianes,620,14219,4.36,0.043603628947183344
