codi,comarca,total_repetixen,pct_repetidors_dones,ratio_repetidors_dones,pct_repetidors_homes,ratio_repetidors_homes
01,alt camp,137,2.6078234704112337,0.026078234704112337,4.262788365095286,0.04262788365095286
02,alt emporda,316,1.97391005835908,0.0197391005835908,3.45005149330587,0.0345005149330587
03,alt penedes,192,1.0293260827345116,0.010293260827345116,2.6995533113225867,0.02699553311322587
04,alt urgell,44,1.1723329425556859,0.011723329425556858,3.985932004689332,0.03985932004689332
05,alta ribagorca,10,2.3391812865497075,0.023391812865497075,3.508771929824561,0.03508771929824561
06,anoia,309,1.82370820668693,0.0182370820668693,3.701054890041123,0.03701054890041123
07,bages,270,1.276706618030224,0.01276706618030224,2.240750390828557,0.022407503908285567
08,baix camp,466,1.820425794507868,0.01820425794507868,2.9723336418800783,0.029723336418800782
09,baix ebre,159,1.6006739679865205,0.016006739679865205,2.864363942712721,0.02864363942712721
10,baix emporda,187,1.289198606271777,0.01289198606271777,1.9686411149825784,0.019686411149825785
11,baix llobregat,1672,1.426526229675836,0.01426526229675836,2.8479394621126906,0.028479394621126905
12,baix penedes,289,2.2108083966056276,0.022108083966056274,4.242965609647164,0.04242965609647164
13,barcelones,3703,1.4124921696607189,0.014124921696607189,2.3288944571301555,0.023288944571301554
14,bergueda,42,0.7633587786259541,0.007633587786259542,2.1512838306731434,0.021512838306731435
15,cerdanya,44,1.4760147601476015,0.014760147601476014,3.936039360393604,0.03936039360393604
16,conca de barbera,27,0.7734806629834254,0.0077348066298342545,2.209944751381215,0.022099447513812154
17,garraf,334,1.5935693132139332,0.01593569313213933,3.1166267099139753,0.031166267099139753
18,garrigues,35,0.6578947368421052,0.006578947368421052,3.9473684210526314,0.039473684210526314
19,garrotxa,97,1.145374449339207,0.01145374449339207,3.127753303964758,0.03127753303964758
20,girones,402,1.412582853417364,0.01412582853417364,2.9555579702271,0.029555579702271
21,maresme,800,1.1339189673718177,0.011339189673718178,2.4515955539619934,0.024515955539619935
22,montsia,123,1.5364916773367476,0.015364916773367477,2.4007682458386683,0.024007682458386685
23,noguera,80,1.8794556059624108,0.018794556059624108,3.3052495139338953,0.03305249513933895
24,osona,247,1.3299462044231918,0.013299462044231918,2.3610280932456664,0.023610280932456665
25,pallars jussa,14,1.1363636363636365,0.011363636363636364,1.5151515151515151,0.015151515151515152
26,pallars sobira,5,1.2903225806451613,0.012903225806451613,0.3225806451612903,0.0032258064516129032
27,pla d'urgell,105,2.5878003696857674,0.025878003696857672,3.8817005545286505,0.038817005545286505
28,pla de l'estany,43,1.144781144781145,0.011447811447811448,1.7508417508417509,0.017508417508417508
29,priorat,14,1.084010840108401,0.01084010840108401,2.710027100271003,0.02710027100271003
30,ribera d'ebre,33,1.4705882352941175,0.014705882352941176,1.9957983193277309,0.01995798319327731
31,ripolles,48,2.064220183486239,0.020642201834862386,3.4403669724770642,0.034403669724770644
32,segarra,52,0.9505703422053232,0.009505703422053232,3.9923954372623576,0.039923954372623575
33,segria,536,1.968421052631579,0.01968421052631579,3.6736842105263157,0.03673684210526316
34,selva,308,1.4933478142818355,0.014933478142818354,2.688026065707304,0.026880260657073038
35,solsones,26,1.322314049586777,0.013223140495867768,2.975206611570248,0.02975206611570248
36,tarragones,701,2.1333124951160425,0.021333124951160427,3.344533875126983,0.03344533875126983
37,terra alta,5,0.19960079840319359,0.001996007984031936,0.7984031936127743,0.007984031936127744
38,urgell,65,1.3317892298784018,0.013317892298784018,2.4319629415170816,0.024319629415170817
40,valles occidental,1906,1.4618685180793032,0.014618685180793031,2.647750059294077,0.02647750059294077
41,valles oriental,658,1.0353227771010962,0.010353227771010963,2.304100690215185,0.02304100690215185
42,moianes,13,0.4838709677419355,0.004838709677419355,1.6129032258064515,0.016129032258064516
