codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
01,alt camp,39062,1310,502,2989,229,702,284,45078,86.65,0.8665424375526865,2.91,0.029060739163228183,1.11,0.011136252717511869,6.63,0.0663072895869382,0.51,0.00508008341097653,1.56,0.015573006788233729,0.63,0.006300190780425041
02,alt emporda,108103,11083,2766,13636,2481,4201,1127,143397,75.39,0.7538721172688411,7.73,0.07728892515185115,1.93,0.019289106466662483,9.51,0.09509264489494201,1.73,0.017301617188644113,2.93,0.029296289322649705,0.79,0.007859299706409478
03,alt penedes,98205,1811,769,5958,680,1935,840,110198,89.12,0.8911686237499773,1.64,0.01643405506452023,0.7,0.006978348064393183,5.41,0.054066316993048875,0.62,0.006170710902194232,1.76,0.017559302346685058,0.76,0.0076226428791811105
04,alt urgell,17788,971,314,446,164,634,127,20444,87.01,0.8700841322637448,4.75,0.04749559773038544,1.54,0.015359029544120524,2.18,0.021815691645470554,0.8,0.008021913519859127,3.1,0.031011543729211506,0.62,0.006212091567207983
05,alta ribagorca,3455,177,56,147,35,84,6,3960,87.25,0.8724747474747475,4.47,0.0446969696969697,1.41,0.014141414141414142,3.71,0.037121212121212124,0.88,0.008838383838383838,2.12,0.021212121212121213,0.15,0.0015151515151515152
06,anoia,112293,2037,640,5858,677,1637,988,124130,90.46,0.9046402964633852,1.64,0.016410215097075645,0.52,0.005155884959316845,4.72,0.047192459518247,0.55,0.005453959558527351,1.32,0.013187786997502619,0.8,0.00795939740594538
07,bages,157700,3942,1346,11179,1657,3202,1661,180687,87.28,0.8727800007748205,2.18,0.021816732803134703,0.74,0.0074493461068034774,6.19,0.06186942060026455,0.92,0.009170554605477981,1.77,0.017721252774134277,0.92,0.00919269233536447
08,baix camp,162592,9135,2712,12453,1299,5219,1686,195096,83.34,0.8333948415139214,4.68,0.04682310247262886,1.39,0.013900848812892115,6.38,0.0638301144052159,0.67,0.006658260548652971,2.68,0.02675093287407225,0.86,0.008641899372616557
09,baix ebre,65222,4040,1746,4829,471,1017,1642,78967,82.59,0.8259399495991997,5.12,0.0511606113946332,2.21,0.022110501855205338,6.12,0.061152126837793,0.6,0.005964516823483227,1.29,0.012878797472361873,2.08,0.020793496017323693
10,baix emporda,110079,6386,4110,11092,2295,2142,929,137033,80.33,0.8033028540570519,4.66,0.04660191340771931,3.0,0.029992775462844717,8.09,0.08094400618829041,1.67,0.016747790678157817,1.56,0.01563127129961396,0.68,0.006779388906321835
11,baix llobregat,742520,20635,6708,22342,7162,21845,11162,832374,89.21,0.8920509290294988,2.48,0.02479053886834524,0.81,0.00805887737963944,2.68,0.026841299704219498,0.86,0.008604305276234,2.62,0.026244212337242633,1.34,0.01340983740482043
12,baix penedes,93315,4235,1453,6145,842,3220,947,110157,84.71,0.8471091260655247,3.84,0.03844512831685685,1.32,0.013190264803870838,5.58,0.05578401735704495,0.76,0.0076436359014860605,2.92,0.029231006654139094,0.86,0.008596820901077553
13,barcelones,1809716,104414,38990,42740,51659,110144,112259,2269922,79.73,0.7972591128681955,4.6,0.04599893740842197,1.72,0.017176801669837115,1.88,0.018828840814794516,2.28,0.022758050717161207,4.85,0.048523253221916876,4.95,0.04945500329967285
14,bergueda,36085,936,217,1388,318,785,257,39986,90.24,0.9024408542990047,2.34,0.023408192867503626,0.54,0.005426899414795178,3.47,0.034712149252238284,0.8,0.007952783474215975,1.96,0.019631871154904217,0.64,0.0064272495373380685
15,cerdanya,16469,800,277,380,208,1030,84,19248,85.56,0.8556213632585203,4.16,0.04156275976724855,1.44,0.014391105569409809,1.97,0.01974231088944306,1.08,0.010806317539484621,5.35,0.053512053200332504,0.44,0.004364089775561097
16,conca de barbera,17720,771,275,982,71,172,168,20159,87.9,0.8790118557468128,3.82,0.038245944739322385,1.36,0.013641549680043653,4.87,0.04871273376655588,0.35,0.0035220000992112702,0.85,0.008532169254427303,0.83,0.008333746713626668
17,garraf,131585,8478,3457,3548,1472,4175,1492,154207,85.33,0.8533010823114385,5.5,0.0549780489861031,2.24,0.022417918771521397,2.3,0.02300803465471736,0.95,0.009545610769939109,2.71,0.027073997937836804,0.97,0.009675306568443716
18,garrigues,16275,1282,71,1177,50,127,50,19032,85.51,0.8551387137452712,6.74,0.06736023539302227,0.37,0.003730559058427911,6.18,0.061843211433375365,0.26,0.002627154266498529,0.67,0.006672971836906263,0.26,0.002627154266498529
19,garrotxa,49000,1824,783,2584,1256,973,2594,59014,83.03,0.8303114515199783,3.09,0.030907920154539602,1.33,0.01326803809265598,4.38,0.0437862202189311,2.13,0.02128308536957332,1.65,0.016487613108753855,4.4,0.04395567153556783
20,girones,156412,6511,2122,16231,7993,3996,3013,196278,79.69,0.7968901252305404,3.32,0.033172337195202725,1.08,0.010811196364340374,8.27,0.08269393411385892,4.07,0.04072285228094845,2.04,0.020358878733225325,1.54,0.015350676081883858
21,maresme,403239,11349,4685,22257,3593,8900,6164,460187,87.63,0.8762503069404395,2.47,0.024661713607729032,1.02,0.01018064395560935,4.84,0.048365121135538376,0.78,0.007807695567236797,1.93,0.01933996397116824,1.34,0.013394554822278769
22,montsia,56592,5746,948,2851,300,1172,914,68523,82.59,0.825883280066547,8.39,0.08385505596660975,1.38,0.013834770806882361,4.16,0.04160646790128862,0.44,0.004378092027494418,1.71,0.017103746187411527,1.33,0.013338587043766326
23,noguera,32050,2727,284,3195,95,595,197,39143,81.88,0.8187926321436783,6.97,0.06966762895025931,0.73,0.007255447972817617,8.16,0.0816237896941982,0.24,0.002426998441611527,1.52,0.015200674450093248,0.5,0.005032828347341798
24,osona,137199,3585,953,15186,1000,2624,3320,163867,83.73,0.8372582643241165,2.19,0.021877498215015837,0.58,0.0058156919941171805,9.27,0.09267271628820933,0.61,0.006102509962347513,1.6,0.016012986141199875,2.03,0.020260333074993746
25,pallars jussa,11269,657,126,564,122,326,48,13112,85.94,0.8594417327638804,5.01,0.050106772422208665,0.96,0.009609517998779744,4.3,0.04301403294691885,0.93,0.009304453935326418,2.49,0.024862721171446004,0.37,0.0036607687614399025
