codi,comarca,tipus_estudis,sexe,valor
25,pallars jussa,estudis_superiors,homes,1806
25,pallars jussa,educacio_obligatoria,homes,3906
26,pallars sobira,sense_educacio,homes,48
26,pallars sobira,sense_educacio,dones,75
26,pallars sobira,estudis_superiors,homes,1182
26,pallars sobira,estudis_superiors,dones,1287
26,pallars sobira,educacio_obligatoria,homes,1962
26,pallars sobira,educacio_obligatoria,dones,1677
27,pla d'urgell,estudis_superiors,dones,4464
27,pla d'urgell,educacio_obligatoria,dones,10158
27,pla d'urgell,educacio_obligatoria,homes,12087
27,pla d'urgell,sense_educacio,homes,561
27,pla d'urgell,estudis_superiors,homes,3498
27,pla d'urgell,sense_educacio,dones,588
28,pla de l'estany,educacio_obligatoria,dones,8211
28,pla de l'estany,educacio_obligatoria,homes,8961
28,pla de l'estany,estudis_superiors,dones,5001
28,pla de l'estany,estudis_superiors,homes,3999
28,pla de l'estany,sense_educacio,dones,570
28,pla de l'estany,sense_educacio,homes,558
29,priorat,educacio_obligatoria,dones,2535
29,priorat,educacio_obligatoria,homes,3012
29,priorat,estudis_superiors,dones,1275
29,priorat,estudis_superiors,homes,1197
29,priorat,sense_educacio,dones,96
29,priorat,sense_educacio,homes,96
30,ribera d'ebre,sense_educacio,dones,399
30,ribera d'ebre,estudis_superiors,dones,2724
30,ribera d'ebre,educacio_obligatoria,homes,6942
30,ribera d'ebre,educacio_obligatoria,dones,6342
30,ribera d'ebre,sense_educacio,homes,273
30,ribera d'ebre,estudis_superiors,homes,2478
31,ripolles,educacio_obligatoria,dones,7278
31,ripolles,estudis_superiors,dones,3366
31,ripolles,educacio_obligatoria,homes,7635
31,ripolles,sense_educacio,homes,336
31,ripolles,sense_educacio,dones,546
31,ripolles,estudis_superiors,homes,3075
32,segarra,educacio_obligatoria,dones,6342
32,segarra,educacio_obligatoria,homes,7782
32,segarra,estudis_superiors,homes,2136
32,segarra,sense_educacio,dones,474
32,segarra,sense_educacio,homes,477
32,segarra,estudis_superiors,dones,2592
33,segria,sense_educacio,homes,3456
33,segria,sense_educacio,dones,4041
33,segria,estudis_superiors,homes,24054
33,segria,estudis_superiors,dones,29655
33,segria,educacio_obligatoria,homes,62529
33,segria,educacio_obligatoria,dones,54972
34,selva,estudis_superiors,homes,15876
34,selva,estudis_superiors,dones,19569
34,selva,educacio_obligatoria,homes,56856
34,selva,educacio_obligatoria,dones,51009
34,selva,sense_educacio,dones,3195
34,selva,sense_educacio,homes,2628
35,solsones,educacio_obligatoria,dones,3441
35,solsones,sense_educacio,homes,288
35,solsones,sense_educacio,dones,372
35,solsones,estudis_superiors,homes,1692
35,solsones,estudis_superiors,dones,1953
35,solsones,educacio_obligatoria,homes,3855
36,tarragones,educacio_obligatoria,homes,72342
36,tarragones,educacio_obligatoria,dones,69294
36,tarragones,estudis_superiors,homes,34089
36,tarragones,estudis_superiors,dones,38331
36,tarragones,sense_educacio,homes,2799
36,tarragones,sense_educacio,dones,4485
37,terra alta,educacio_obligatoria,dones,3543
37,terra alta,sense_educacio,homes,207
37,terra alta,sense_educacio,dones,285
37,terra alta,estudis_superiors,homes,855
37,terra alta,estudis_superiors,dones,1116
37,terra alta,educacio_obligatoria,homes,4047
38,urgell,sense_educacio,homes,408
38,urgell,sense_educacio,dones,483
38,urgell,estudis_superiors,homes,3702
38,urgell,estudis_superiors,dones,4695
38,urgell,educacio_obligatoria,homes,11859
38,urgell,educacio_obligatoria,dones,10302
39,aran,sense_educacio,dones,87
39,aran,educacio_obligatoria,dones,2664
39,aran,educacio_obligatoria,homes,3111
39,aran,estudis_superiors,dones,1623
39,aran,estudis_superiors,homes,1428
39,aran,sense_educacio,homes,51
40,valles occidental,educacio_obligatoria,dones,244176
40,valles occidental,sense_educacio,homes,8079
40,valles occidental,sense_educacio,dones,15891
40,valles occidental,educacio_obligatoria,homes,247971
40,valles occidental,estudis_superiors,dones,142806
40,valles occidental,estudis_superiors,homes,126072
41,valles oriental,estudis_superiors,homes,50487
41,valles oriental,estudis_superiors,dones,58731
41,valles oriental,educacio_obligatoria,homes,118422
41,valles oriental,educacio_obligatoria,dones,111180
41,valles oriental,sense_educacio,homes,4596
41,valles oriental,sense_educacio,dones,6831
42,moianes,educacio_obligatoria,dones,3630
42,moianes,educacio_obligatoria,homes,4287
42,moianes,estudis_superiors,dones,2160
42,moianes,estudis_superiors,homes,1920
42,moianes,sense_educacio,dones,108
42,moianes,sense_educacio,homes,66
